_id,name,sex,age,height,weight,country,sport
athlete_101,Shane Rose,M,43.0,181.0,80.0,Australia,Equestrianism
athlete_102,Lisa Schtze,F,19.0,,61.0,Germany,Archery
athlete_103,Samuel Carmona Heredia,M,20.0,162.0,49.0,Spain,Boxing
athlete_104,Mala de Paula Machado,F,35.0,167.0,67.0,Brazil,Athletics
athlete_105,Henry Weir,M,26.0,176.0,75.0,UK,Hockey
athlete_106,Brankica Mihajlovi,F,25.0,190.0,45.0,Serbia,
athlete_107,Gernot Rumpler,M,22.0,188.0,83.0,Austria,Shooting
athlete_108,Yaime Prez Tellez,F,25.0,175.0,74.0,Cuba,Athletics
athlete_109,Lena Kreundl,F,18.0,174.0,69.0,Austria,Swimming
athlete_110,Aleksandra Viktorovna Gerasimenya,F,30.0,175.0,60.0,Belarus,Swimming
athlete_111,Panipak Wongpattanakit,F,18.0,173.0,49.0,Thailand,Taekwondo
athlete_112,Marie-Laurence Jungfleisch,F,25.0,169.0,,Grmany,Athletics
athlete_113,Nataliya Serhivna Lehonkova,F,33.0,161.0,48.0,Ukraine,Athletics
athlete_114,Ryunosuke Haga,M,25.0,186.0,100.0,Japan,Judo
athlete_115,Hong Wei,M,26.0,192.0,86.0,China,Badminton
athlete_116,Sanae Motkawa,F,24.0,175.0,65.0,Japan,Basketball
athlete_117,Camalddin Maqomedov,M,27.0,186.0,125.0,Azerbaija,
athlete_118,Olivia Alma Charlotta Schough,F,29.0,,60.0,,Football
athlete_119,Emilee Cherry,F,23.0,,,Australia,Rugby Sevens
athlete_120,Henri Junghnel9,M,28.0,179.0,80.0,Germany,Shooting
athlete_121,"Joseph ""Joe"" Morris",,,155.0,80.0,Portugal,Athletics
athlete_122,Darya Talanova,F,20.0,168.0,56.0,Kyrgyzstan,Swimming
athlete_123,Shannon Parry,F,53.0,170.0,70.0,Australia,
athlete_124,Jang Hyun-Soo,M,24.0,187.0,77.0,South Korea,Football
athlete_125,Stine Bredal Oftedal,F,24.0,168.0,75.0,Norway,Handball
athlete_126,Mariya Vladimirovna Shurochkina,F,21.0,164.0,48.0,Russia,Synchronized Swimming
athlete_127,Adam Ahmed R. Gemili,M,22.0,178.0,75.0,UK,Athletics
athlete_128,Lei Sheng,M,32.0,193.0,77.0,China,Fencing
athlete_129,"Yiu Kit-Ching ""Christy""",F,28.0,155.0,45.0,China,Athletics
athlete_130,Nemanja Nedovi,M,25.0,191.0,90.0,Serbia,Basketball
athlete_131,Allyson Michelle Felix,F,30.0,168.0,56.0,USA,Athletics
athlete_132,Cassio Rivetti,M,36.0,175.0,65.0,Ukraine,Equestrianism
athlete_133,Edward Ignacio Araya Corts,M,30.0,176.0,62.0,Chile,Athletics
athlete_134,Monique Adelinde Cornelissen,F,37.0,168.0,55.0,Netherlands,Equestrianism
athlete_135,Mekonnen Gebremedhin Woldegeorgis,M,27.0,181.0,61.0,Ethiopia,
athlete_136,"Joseph ""Joe"" Cordina",M,24.0,175.0,61.0,UK,Boxing
athlete_137,Yosuke Nakayama,M,29.0,161.0,65.0,Japan,Weightlifting
athlete_138,KaroKina Naja,F,26.0,,63.0,Poland,Canoeing
athlete_139,Dra Antal,F,22.0,169.0,62.0,Hungary,Water Polo
athlete_140,Nicole Broch Larsen,F,23.0,179.0,75.0,Denmark,
athlete_141,Kelly Griffin,F,,163.0,68.0,USA,Rugby Sevens
athlete_142,Nikolas Skarvelis,M,23.0,186.0,125.0,Greece,Athletics
athlete_143,John dison Rodrguez Quevedo,M,25.0,205.0,102.0,Colombia,Fencing
athlete_144,Chiang Hung-Chieh,M,27.0,180.0,,,Table Tennis
athlete_145,Akani Simbine,M,22.0,176.0,74.0,South Africa,Athletics
athlete_146,Mara Teresa Portela Rivas,F,27.0,172.0,69.0,Spain,Canoeing
athlete_147,Chan Hao-Ching,F,22.0,175.0,60.0,Taiwan,Tennis
athlete_148,Paola An6drea Muoz Grandn,F,30.0,164.0,54.0,Chile,Cycling
athlete_149,Mximo Gonzlez Mereira,M,33.0,175.0,70.0,Argentina,Tennis
athlete_150,Yuri Nagai,F,24.0,200.0,53.0,Japan,Hockey
athlete_151,Alina Armas,F,14.0,166.0,53.0,Namibia,Athletics
athlete_152,Zhou Chao,F,29.0,170.0,,China,
athlete_153,Mara Gabriela Daz,F,54.0,160.0,,Malawi,Cycling
athlete_154,"Xu An""qi",F,24.0,182.0,76.0,China,
athlete_155,Gspr Csere,M,24.0,172.0,54.0,Hungary,Athletics
athlete_156,Karolina Naja,F,26.0,156.0,74.0,Poland,Canoeing
athlete_157,Sebastian Kuntschik,M,27.0,163.0,58.0,Austria,Shooting
athlete_158,Bertrand Roin,M,35.0,198.0,99.0,Qatar,Handball
athlete_159,Carles Castillejo Salvador,M,37.0,165.0,61.0,,Athletics
athlete_160,Linda Birgitta Sembrant,F,29.0,175.0,67.0,Sweden,Football
athlete_161,Yoshua Shing,M,23.0,173.0,65.0,Vanuatu,Table Tennis
athlete_162,Natalia del Carmen Romero Jaramillo,F,36.0,163.0,57.0,Chile,Athletics
athlete_163,Yuliya Yevhenivna Paratova,F,29.0,155.0,48.0,,Weightlifting
athlete_164,Pieter Timmers,M,28.0,200.0,89.0,Belgium,Swimming
athlete_165,Gemma Beadsworth,,29.0,,78.0,,Water PoRo
athlete_166,"Christopher ""Chris"" O'Hare",M,25.0,178.0,63.0,UK,Athletics
athlete_167,Lydia Chebet Rotich,,27.0,157.0,34.0,Kenya,
athlete_168,Wu Qiong,F,27.0,167.0,83.0,China,Hockey
athlete_169,Pawe Koodziski,M,28.0,190.0,83.0,Poland,Sailing
athlete_170,Claire Allan,F,31.0,170.0,165.0,UK,Rugby Sevens
athlete_171,Mara Guadalupe Gonzlez Romero,F,27.0,162.0,47.0,Mexico,Athletics
athlete_172,Courtney Lyn Hurley,F,25.0,173.0,80.0,USA,Fencing
athlete_173,Fabio Aru,M,26.0,183.0,65.0,Italy,Cycling
athlete_174,Ryunosuke Haga,M,25.0,186.0,100.0,Japan,Judo
athlete_175,Chen Aisen,M,20.0,168.0,60.0,China,Diving
athlete_176,Sebastian William Gregory Rodger,M,25.0,180.0,68.0,UK,Rowing
athlete_177,Maria Bernard,F,23.0,165.0,53.0,Canada,Athletics
athlete_178,Xiao Di,M,40.0,159.0,100.0,China,Wrestling
athlete_179,Jordan Thompson,M,22.0,183.0,73.0,Australia,Tennis
athlete_180,Pierre-Ambroise Bosse,M,24.0,185.0,68.0,France,Athletics
athlete_181,Tavis Bailey,M,51.0,191.0,125.0,USA,Athletics
athlete_182,Julia Stavickaja,F,18.0,,48.0,Germany,Rhythmic Gymnastics
athlete_183,Mattia Camboni,M,16.0,180.0,70.0,Italy,Sailing
athlete_184,Guor Marial (-Mading Miaker),M,32.0,180.0,60.0,South Sudan,Athletics
athlete_185,Maria Vitalyevna Verchenova (-Balikoeva-),,30.0,,,Russia,
athlete_186,Laura Lpez Ventosa,F,28.0,171.0,65.0,Spain,Water Polo
athlete_187,Jessica Trengove,F,28.0,,,Australia,Athletics
athlete_188,Kazuya Shiojiri,M,19.0,170.0,136.0,Japan,Athletics
athlete_189,Sabina Rosengren Jacobsen,F,27.0,180.0,75.0,Sweden,Handball
athlete_190,Karim Hendawy,M,28.0,188.0,96.0,Egypt,Handball
athlete_191,Jazmin Jayne Sawyers,F,22.0,160.0,61.0,UK,Athletics
athlete_192,Thulasi Tharumalingam,M,23.0,178.0,64.0,Qatar,Boxing
athlete_193,Tom Mitchell,M,27.0,178.0,85.0,UK,Rugby Sevens
athlete_194,Andrew Lewis,M,26.0,177.0,84.0,Trinidad,Sailing
athlete_195,Shannon PEarry,F,26.0,170.0,70.0,Australia,
athlete_196,Erika Araki,F,24.0,186.0,,Japan,Volleyball
athlete_197,Andrey Sergeyevich Kraytor,M,23.0,178.0,91.0,Russia,Canoeing
athlete_198,Erin Nicole Nayler,F,24.0,177.0,67.0,New Zealand,Footall
athlete_199,Mara Branz,F,26.0,170.0,61.0,Argentina,
athlete_200,Soufiane El-Bakkali,M,20.0,188.0,62.0,Morocco,Athletics
athlete_201,Adama Jammeh,M,23.0,,,Gambia,Athletics
athlete_202,Faye Njie,M,22.0,,,Gambjia,Judo
athlete_203,Emmanuel Lebesson,M,,180.0,,France,Table Te%nis
athlete_204,Sophie Anna Giger,F,20.0,168.0,54.0,Switzerland,Synchronized Swimming
athlete_205,"Zacery ""Zach"" Ziemek",M,23.0,193.0,89.0,USA,Athletics
athlete_206,Juan Miguel Rodrguez Martnez,M,49.0,183.0,86.0,Cuba,Shooting
athlete_207,Dariga Shakimova,F,27.0,172.0,75.0,Kazakhstan,Boxing
athlete_208,Mio Yamanaka,F,20.0,157.0,56.0,Japan,Rugby Sevens
athlete_209,Mario Hezonja,M,21.0,203.0,,Croatia,Basketball
athlete_210,"Robert Timothy David ""Robby"" Smith",M,29.0,183.0,127.0,USA,Wrestling
athlete_211,Rodrigo Germade Barreiro,M,25.0,183.0,85.0,Spain,Canoeing
athlete_212,"Kalliopi ""Kelly"" Araouzou",F,25.0,169.0,55.0,Greece,Swimming
athlete_213,Maria Andrade Teixeira,F,23.0,172.0,,Cape Verde,Taekwondo
athlete_214,GorMinasyan,M,21.0,,140.0,Armenia,Weightlifting
athlete_215,IHannis Khristou,M,33.0,190.0,,Greece,Rowing
athlete_216,Islam Kurbanovich Magomedov,M,25.0,182.0,98.0,Russia,Wrestling
athlete_217,Zohir Kedache,M,30.0,178.0,69.0,Algeria,Boxing
athlete_218,Savenaca Rawaca,M,24.0,189.0,105.0,Fiji,Rugby Sevens
athlete_219,David Verburg,M,25.0,173.0,70.0,USA,Athletics
athlete_220,Murray Stewart,M,30.0,186.0,86.0,Australia,Canoeing
athlete_221,Pablo Fontes de Castro,M,,175.0,83.0,Spain,Rugby Sevens
athlete_222,Filip Zaborowski,M,22.0,188.0,77.0,Poland,Swimming
athlete_223,Abdoullah Bamoussa,M,30.0,170.0,59.0,Itay,Athletics
athlete_224,"Jazmin Roxy ""Jazz"" Carlin",F,,,74.0,UK,Swimming
athlete_225,Xu Anqi,F,24.0,195.0,76.0,China,Fencing
athlete_226,Mark William Knowles,M,,183.0,58.0,Australia,Hockey
athlete_227,Anna Aleksandrovna Malyshchik (Zinchuk-),F,22.0,175.0,90.0,Belarus,Athletics
athlete_228,Josefina Fernndez,F,24.0,167.0,72.0,Argentina,Volleyball
athlete_229,Tanel Laanme,,26.0,183.0,81.0,Estonia,Athletics
athlete_230,Emilee Cherry,F,23.0,168.0,70.0,Australia,Rugby Sevens
athlete_231,"Hyland DeAndre Jordan, Jr.",M,28.0,211.0,120.0,USA,Basketball
athlete_232,Ar6turo Chvez Korfiatis,M,26.0,190.0,76.0,Peru,Athletics
athlete_233,Markta?Slukov,,28.0,181.0,69.0,Czech Republic,Volleyball
athlete_234,Tsvetana Kirilova Pironkova,F,28.0,180.0,66.0,Bulgaria,Tennis
athlete_235,Chang Hao,M,25.0,173.0,72.0,Taiwan,Sailing
athlete_236,Masato Sakai,M,21.0,181.0,77.0,Japan,Swimming
athlete_237,Deniz nar,M,31.0,172.0,65.0,Turkey,Sailing
athlete_238,Bredni Roque Mendoza,M,,160.0,69.0,,Weightlifting
athlete_239,Samantha Roberts,F,16.0,172.0,64.0,Antigua,Swimming
athlete_240,Miosz Jankowski,M,26.0,193.0,70.0,Poland,Rowing
athlete_241,Alex Rose,M,49.0,,,Samoa,Athletics
athlete_242,Sachi Mochida,F,17.0,,58.0,Japan,Swimming
athlete_243,Eleftherios Petrounias,M,25.0,164.0,62.0,Greece,Gymnastics
athlete_244,Franck Dannique Elemba Owaka,M,26.0,,130.0,,Athletics
athlete_245,Ryota Yamagata,M,24.0,185.0,70.0,Japn,Athletics
athlete_246,Mara Gabriela Daz,F,35.0,160.0,53.0,Argentina,Cycling
athlete_247,Otryadyn Gndegmaa,F,,183.0,63.0,Mongolia,
athlete_248,M!guel David Ruz Gonzlez,M,25.0,202.0,104.0,Venezuela,Basketball
athlete_249,Miguel ngel Lpez Nicolas,M,28.0,181.0,70.0,Spain,Athletics
athlete_250,Christine Margaret Sinclair,F,33.0,176.0,75.0,Canada,Football
athlete_251,Linda Birgitta Sembrant,F,29.0,175.0,67.0,Sweden,Football
athlete_252,Lkhagvasrengiin Otgonbaatar,M,31.0,182.0,62.0,Mongolia,Judo
athlete_253,Aleksey Borisovich Cheremisinov,M,36.0,183.0,75.0,Russia,Fencing
athlete_254,Jasmine Louise Joyce,F,,163.0,55.0,UK,Rugby Sevens
athlete_255,Henry Weir,M,26.0,176.0,75.0,UK,Hockeyo
athlete_256,Simonas Bilis,M,27.0,196.0,84.0,Lithuania,Swimming
athlete_257,Matteo Lodo,M,52.0,196.0,90.0,Italy,Rowing
athlete_258,Amina Kajtaz,F,19.0,173.0,62.0,Bosnia and Herzegovina,Swimming
athlete_259,Kayla Pratt,F,,,73.0,Zealand,Rowing
athlete_260,Ricardo Ramos Vargas,M,30.0,172.0,56.0,Mexico,Athletics
athlete_261,Rene Eykens,F,20.0,,54.0,Belgium,Athletics
athlete_262,Mekonnen Gebremedhin Woldegeorgis,M,27.0,181.0,61.0,Ethiopia,
athlete_263,Kirsten{Sweetland,F,45.0,163.0,49.0,Canada,Triathlon
athlete_264,Cassandre Beaugrand,F,19.0,177.0,54.0,France,Triathlon
athlete_265,Irina Valeryevna Bliznova,F,29.0,182.0,68.0,Russia,Handball
athlete_266,Ababel Yeshaneh Birhane,F,25.0,165.0,54.0,EthiopiZ,
athlete_267,Lilian de Geus,F,24.0,164.0,,,Saling
athlete_268,Olivier Floris Johannes Siegelaar,M,29.0,197.0,100.0,Netherlands,Rowing
athlete_269,Thet Ei Ei,F,23.0,,,Myanmar,Swimming
athlete_270,Marua ernjul,F,24.0,177.0,56.0,Slovenia,Athletics
athlete_271,Sergey Anatolyevich Komissarov,M,28.0,184.0,81.0,Russia,Sailing
athlete_272,Wissem Hosni,M,31.0,175.0,99.0,Tunisia,Athletics
athlete_273,Gal Suter,M,24.0,176.0,70.0,Switzerland,Cycling
athlete_274,Sinad Lynch (Jennings-),F,39.0,172.0,57.0,Ireland,Rowing
athlete_275,Yue Yuan,F,29.0,184.0,70.0,China,Beach Volleyball
athlete_276,Joeri Jordi Verlinden,,,181.0,75.0,Netherlands,Swimming
athlete_277,Matthias Schmid,M,35.0,175.0,66.0,Austria,Sailing
athlete_278,Oleksiy Serhiyovych Kasianov,M,30.0,191.0,88.0,Ukraine,Athletics
athlete_279,Lisanne de Witte,F,23.0,175.0,60.0,Netherlands,Athletics
athlete_280,Wu Qiong,F,27.0,167.0,59.0,China,Hockey
athlete_281,Thet Ei Ei,F,23.0,,,Myanmar,Swimming
athlete_282,Heorhiy Malkhazovych Zantaraia,M,28.0,171.0,66.0,Ukraine,Judo
athlete_283,Noura Mohamed,F,18.0,173.0,60.0,Egypt,Fencing
athlete_284,Alessia Polieri,F,21.0,163.0,55.0,Italy,Swimming
athlete_285,Shaunae Miller (-Uibo),F,,170.0,,Bahamas,Athletics
athlete_286,lvaro de Arriba Lpez,M,22.0,177.0,69.0,Spain,Athletics
athlete_287,Talita Antunes da Rocha,F,33.0,181.0,64.0,Brazil,Beach Volleyball
athlete_288,Phyllis Chanez Francis,F,24.0,180.0,72.0,USA,Athletics
athlete_289,Rogen Ladon,M,22.0,165.0,49.0,Philippines,Boxing
athlete_290,Francisco Ducasse Rojas,M,31.0,175.0,68.0,Chile,Sailing
athlete_291,Simon Gauzy,M,21.0,182.0,77.0,France,Table Tennis
athlete_292,"Hindrik Harmannus Arnoldus ""Henk"" Grol",M,31.0,190.0,100.0,,Judo
athlete_293,Miguel Murillo Salazar,M,22.0,174.0,73.0,Costa Rica,
athlete_294,Bredni Roque Mendoza,M,28.0,160.0,69.0,Mexico,Weightlifting
athlete_295,Kersten Thiele,M,23.0,179.0,75.0,Germany,Cycling
athlete_296,Yumi Kida,F,32.0,160.0,55.0,Japan,Swimming
athlete_297,Marina Anatolyevna Aframeyeva,F,25.0,171.0,62.0,Russia,Equestrianism
athlete_298,Helena Scutt,F,24.0,170.0,66.0,USA,Sailing
athlete_299,Liubomyr Arturovych Lemeshko,M,24.0,186.0,86.0,Ukraine,Swimming
athlete_300,Mara Lpez de Eguilaz Zubiria,F,32.0,164.0,56.0,Spain,Hockey
athlete_301,Daisurami Bonne R:usseau,F,28.0,171.0,60.0,Cuba,Athletics
athlete_302,Nicols Martn Bruno,M,27.0,187.0,85.0,Argentina,Volleyball
athlete_303,ngel Lpez Vzquez,M,24.0,172.0,83.0,Spain,Rugby Sevens
athlete_304,Rza Kayaalp,M,26.0,182.0,130.0,Turkey,Wrestling
athlete_305,Rasmus Nicolai Quist Hansen,M,36.0,,72.0,Denmark,Rowing
athlete_306,Magdalena Lobnig,F,26.0,213.0,71.0,Austria,Rowing
athlete_307,"Gordon ""Gordie"" Johnston",M,23.0,187.0,88.0,Canada,Hockey
athlete_308,Kim Jong-Hyeon,M,15.0,170.0,73.0,South Korea,Shooting
athlete_309,Klay Alexander Thompson,M,26.0,200.0,97.0,USA,Basketball
athlete_310,Nada Daabousov,F,,165.0,52.0,Barbados,Synchronized Swimming
athlete_311,Ignacio Ortz,M,29.0,180.0,76.0,ArgOntina,Hockey
athlete_312,Andr Fernando dos Santos MaPrtins Cardoso,,31.0,158.0,57.0,Portugal,Cycling
athlete_313,Tristan Flore,M,21.0,178.0,64.0,,Table Tennis
athlete_314,Alejandra Llaneza Gmez,F,28.0,157.0,48.0,Mexico,Golf
athlete_315,Romain Duguet,,35.0,176.0,68.0,Switzerland,Equestrianism
athlete_316,Ricardo David Vargas Jacobo,M,18.0,180.0,79.0,Mexico,Swimming
athlete_317,Phyllis Chanez Francis,F,,180.0,72.0,Seychelles,Water Polo
athlete_318,Milena Rai,F,25.0,,72.0,Serbia,Volleyball
athlete_319,Kelly Silva dos Santos,F,36.0,193.0,92.0,Brazil,Basketball
athlete_320,"Wouter ""Wout"" Poels",M,28.0,186.0,67.0,Netherlands,Cycling
athlete_321,Mykola Valeriyovych Butsenko,M,50.0,170.0,56.0,Ukraine,Trampolining
athlete_322,Oleh Serhiyovych Tsarkov,M,28.0,174.0,70.0,Ukraine,Shooting
athlete_323,Winny Chebet,F,25.0,152.0,48.0,Kenya,Athletics
athlete_324,Robert Urbanek,M,29.0,200.0,122.0,Poland,Athletics
athlete_325,Georgia zohl,F,19.0,167.0,54.0,Australia,Swimming
athlete_326,Adrian Bocki,M,26.0,174.0,62.0,Poland,
athlete_327,Marlo Delgado Suarez,M,23.0,184.0,75.0,Ecuador,
athlete_328,MattiasG Karlsson,M,24.0,191.0,80.0,Sweden,
athlete_329,Saidi Juma Makula,M,22.0,,54.0,Tanzania,Athletics
athlete_330,Aleksandr Nikolayevich Bersanov,M,23.0,176.0,94.0,Belarus,Weightlifting
athlete_331,Hiwot Ayalew Yeder,F,,173.0,53.0,Ethiopia,Athletics
athlete_332,Jade Louise Jones,,39.0,156.0,,,Taekwondo
athlete_333,Karel Lavick,M,30.0,192.0,80.0,Czech Republic,Sailing
athlete_334,Fabio Aru,M,26.0,183.0,65.0,Italy,Cycling
athlete_335,Sardorbek Dusmurotov,M,23.0,168.0,110.0,Uzbekistan,Weightlifting
athlete_336,Chijindu Andre E. O. Ujah,M,22.0,182.0,81.0,UK,Athletics
athlete_337,"Nwanyika Jenete C. ""Anyika"" Onuora",F,31.0,178.0,76.0,UK,Athletics
