brand,model,type,mp,optical_zoom,digital_zoom,screen_size,price,matches
cannon,300v,digital and film,,,,,,{'www.ebay.com//53784'}
canon,7d,digital slr,18.0,2.7,,3.0,700.53,"{'www.ebay.com//48961', 'www.shopbot.com.au//1481', 'www.ebay.com//24005', 'www.shopbot.com.au//1313', 'www.ebay.com//58716', 'www.ebay.com//56012', 'www.ebay.com//44153', 'www.ebay.com//60056', 'www.ebay.com//53237', 'www.ebay.com//58625', 'www.buzzillions.com//2736', 'www.ebay.com//57074', 'www.ebay.com//44371', 'www.mypriceindia.com//717', 'www.ebay.com//55217', 'www.gosale.com//1241', 'www.gosale.com//586', 'www.ebay.com//24855', 'www.ebay.com//53713', 'www.ebay.com//44074', 'www.camerafarm.com.au//798', 'www.ebay.com//59953', 'www.ebay.com//43352', 'www.ebay.com//48082', 'www.ebay.com//58377', 'www.priceme.co.nz//2208', 'www.shopbot.com.au//332', 'www.ebay.com//58417', 'www.ebay.com//43397', 'www.ebay.com//54789', 'www.ebay.com//45082', 'www.ebay.com//44256', 'www.alibaba.com//29863', 'www.ebay.com//42281', 'www.ebay.com//48045', 'www.shopmania.in//1317', 'www.ebay.com//60737', 'www.ebay.com//54117', 'cammarkt.com//310', 'www.ebay.com//56760', 'www.ebay.com//54706', 'www.ebay.com//47615', 'www.ebay.com//52942', 'www.ebay.com//46072', 'www.ebay.com//43099', 'www.ebay.com//52952', 'www.ebay.com//43742', 'cammarkt.com//414', 'www.ebay.com//54064', 'www.ebay.com//43659', 'www.ebay.com//53661', 'www.ebay.com//45182', 'www.ebay.com//42242', 'www.priceme.co.nz//2059', 'www.ebay.com//58797', 'www.ebay.com//54363', 'www.shopmania.in//1425', 'www.walmart.com//787', 'www.priceme.co.nz//1786', 'www.ebay.com//56303', 'www.ebay.com//59406', 'www.ebay.com//47812', 'www.ebay.com//47665', 'www.ebay.com//59972', 'www.ebay.com//53314', 'www.priceme.co.nz//2343', 'www.ebay.com//59359', 'www.ebay.com//56717', 'www.ebay.com//41875', 'www.ilgs.net//11', 'www.mypriceindia.com//121', 'www.ebay.com//45937', 'www.ebay.com//44582', 'www.shopbot.com.au//1665', 'www.ebay.com//54210', 'www.ebay.com//55464', 'www.mypriceindia.com//763', 'www.ebay.com//41959', 'www.priceme.co.nz//1804', 'www.ebay.com//42079', 'www.shopmania.in//1258', 'www.ebay.com//55009', 'www.ebay.com//47256', 'www.ebay.com//60160', 'www.alibaba.com//25774', 'www.ebay.com//48188', 'www.ebay.com//23940', 'www.ebay.com//54638', 'www.ebay.com//60772', 'www.ebay.com//45491', 'www.ebay.com//52859', 'www.ebay.com//56147', 'www.ebay.com//47457', 'www.ebay.com//59082', 'www.ebay.com//60552', 'www.alibaba.com//26574', 'www.ebay.com//54462', 'www.buzzillions.com//2063', 'www.alibaba.com//30014', 'www.ebay.com//44391', 'www.eglobalcentral.co.uk//547', 'www.shopbot.com.au//352', 'www.ebay.com//47555', 'www.ebay.com//59478', 'www.gosale.com//785', 'www.shopbot.com.au//399', 'www.priceme.co.nz//25', 'www.alibaba.com//37527', 'www.ebay.com//43080', 'www.ebay.com//42487', 'www.ebay.com//60527', 'www.ebay.com//44584', 'www.ebay.com//57149', 'www.ebay.com//42474', 'www.ebay.com//45892', 'www.eglobalcentral.co.uk//390', 'www.ebay.com//46044', 'www.ebay.com//47699', 'www.priceme.co.nz//2272', 'www.ebay.com//59701', 'www.ebay.com//60098', 'www.priceme.co.nz//2319', 'www.ebay.com//56744', 'www.pricedekho.com//1232', 'www.ebay.com//44515', 'www.ebay.com//43840', 'www.ebay.com//53529', 'www.ebay.com//48148', 'www.ebay.com//56387', 'www.ebay.com//46453', 'www.ebay.com//59853', 'www.ebay.com//56646', 'www.ebay.com//52777', 'www.ebay.com//54137', 'cammarkt.com//513', 'buy.net//6578', 'www.garricks.com.au//30', 'www.garricks.com.au//131', 'www.priceme.co.nz//2227', 'www.ebay.com//52875', 'www.alibaba.com//26693', 'www.ebay.com//43335', 'www.gosale.com//817', 'www.ebay.com//59912', 'www.shopmania.in//1055', 'www.ebay.com//60238', 'www.ebay.com//54972', 'www.ebay.com//55969', 'www.eglobalcentral.co.uk//551', 'www.priceme.co.nz//2147', 'www.alibaba.com//25686', 'www.ebay.com//53072', 'www.ebay.com//55140', 'www.ebay.com//53955', 'www.ebay.com//57810', 'www.ebay.com//55236', 'www.ebay.com//56265', 'www.ebay.com//58404', 'www.shopbot.com.au//1601', 'www.ebay.com//46907', 'www.ebay.com//42852', 'www.garricks.com.au//138', 'www.ebay.com//47381', 'www.henrys.com//201', 'www.ebay.com//57166', 'www.ebay.com//43740', 'www.priceme.co.nz//2171', 'www.ebay.com//44389', 'www.ebay.com//58290', 'www.ebay.com//54330', 'www.ebay.com//54471', 'www.ebay.com//46516', 'www.ebay.com//54389', 'www.ebay.com//53963', 'www.eglobalcentral.co.uk//147', 'www.ebay.com//45702', 'www.ebay.com//42606', 'www.ebay.com//47033', 'www.ebay.com//42096', 'www.ebay.com//42384', 'www.ebay.com//24711', 'www.ebay.com//53153', 'www.shopbot.com.au//1387', 'www.ebay.com//46199', 'www.ebay.com//60715', 'www.ebay.com//45872', 'www.ilgs.net//77', 'www.pricedekho.com//1053', 'www.alibaba.com//23689', 'www.ebay.com//43535', 'www.ebay.com//46979', 'www.ebay.com//58219', 'www.ebay.com//59128', 'www.ebay.com//48975', 'www.alibaba.com//29632', 'www.gosale.com//1265', 'www.ebay.com//52735', 'www.ebay.com//43162', 'www.ebay.com//43135'}"
canon,a3000,point & shoot,10.0,4.0,4.0,2.7,172.49,"{'www.canon-europe.com//137', 'www.ebay.com//24096', 'www.ebay.com//43735', 'www.buzzillions.com//1876', 'www.gosale.com//624', 'www.ebay.com//24599', 'www.ebay.com//24673'}"
canon,a4000,point & shoot,16.0,8.0,4.0,3.0,112.17,"{'www.ebay.com//24352', 'www.ebay.com//59595', 'www.ebay.com//24323', 'www.ebay.com//42829', 'www.shopmania.in//1227', 'www.ebay.com//59845', 'www.ebay.com//42828', 'www.ebay.com//44241', 'www.ebay.com//58822', 'www.mypriceindia.com//739', 'www.ebay.com//54740', 'www.ebay.com//42027', 'www.buzzillions.com//2016', 'www.ebay.com//54410', 'www.ebay.com//47610', 'www.ebay.com//60669', 'www.ebay.com//42016', 'www.ebay.com//48070', 'www.canon-europe.com//41', 'www.ebay.com//60159', 'www.price-hunt.com//9657', 'www.ebay.com//55842', 'www.ebay.com//45343', 'www.ebay.com//44255', 'www.ebay.com//60488', 'www.ebay.com//60596', 'www.ebay.com//58208', 'www.ebay.com//46039', 'www.ebay.com//46474', 'www.ebay.com//24843', 'www.ebay.com//55566', 'www.pricedekho.com//729', 'www.ebay.com//48499'}"
canon,a430,point & shoot,4.0,4.0,,1.8,172.49,"{'www.canon-europe.com//8', 'www.ebay.com//53941', 'www.gosale.com//438', 'www.ebay.com//43629'}"
canon,a530,point & shoot,5.0,4.0,,1.8,227.67,"{'www.ebay.com//24928', 'www.ebay.com//24726', 'www.ebay.com//56441', 'www.ebay.com//53788', 'www.ebay.com//24133', 'www.ebay.com//45666', 'www.gosale.com//1170', 'www.ebay.com//47367', 'www.ebay.com//45983', 'www.ebay.com//48119', 'www.ebay.com//55253', 'www.canon-europe.com//104'}"
canon,a80,point & shoot,4.0,3.0,3.6,1.5,,"{'www.ebay.com//44697', 'www.ebay.com//24419', 'www.ebay.com//59217', 'www.canon-europe.com//17', 'www.ebay.com//60490', 'www.ebay.com//56955', 'www.ebay.com//53402', 'www.ebay.com//42514', 'www.ebay.com//46608', 'www.ebay.com//56814'}"
cannon,a95,,,,,,,{'www.ebay.com//56354'}
canon,d60,digital slr,6.3,,,1.8,,"{'www.ebay.com//55961', 'www.ebay.com//46144', 'www.ebay.com//57175', 'www.ebay.com//46309', 'www.ebay.com//42930', 'www.ebay.com//43852'}"
canon,elph 300,point & shoot,12.1,5.0,4.0,2.7,107.15,"{'www.ebay.com//48728', 'www.ebay.com//60357', 'www.ebay.com//24190', 'www.ebay.com//53830', 'www.ebay.com//48080', 'www.shopmania.in//1079', 'www.ebay.com//46420', 'www.ebay.com//56694', 'www.priceme.co.nz//1990', 'www.alibaba.com//28042', 'www.ebay.com//47662', 'www.ebay.com//47855', 'www.ebay.com//53844', 'www.pricedekho.com//1045', 'www.ebay.com//60679', 'www.ebay.com//55061', 'www.eglobalcentral.co.uk//516', 'www.canon-europe.com//15', 'www.ebay.com//56740', 'www.gosale.com//476', 'www.ebay.com//55332', 'www.ebay.com//23947'}"
canon,ixus 310,point & shoot,12.1,4.4,4.0,3.2,,"{'www.shopmania.in//650', 'www.priceme.co.nz//1877', 'www.ebay.com//45776', 'buy.net//4239', 'www.ebay.com//43443', 'www.ebay.com//47660', 'www.canon-europe.com//169', 'www.ebay.com//58898', 'www.ebay.com//44968'}"
canon,g11,point & shoot,10.0,5.0,4.0,2.8,224.33,"{'www.ebay.com//57676', 'www.ebay.com//43689', 'www.ebay.com//52613', 'www.alibaba.com//37841', 'www.ebay.com//59426', 'www.ebay.com//43449', 'www.alibaba.com//25967', 'www.gosale.com//830', 'www.ebay.com//59011', 'www.ebay.com//48562', 'www.alibaba.com//28860', 'www.ebay.com//58638', 'www.pricedekho.com//1228', 'www.alibaba.com//25229', 'www.ebay.com//59527', 'www.ebay.com//47865', 'www.ebay.com//45386', 'www.ebay.com//46296', 'www.canon-europe.com//65'}"
canon,g6,point & shoot,7.1,4.0,4.1,2.0,,"{'www.canon-europe.com//68', 'www.ebay.com//53294', 'www.ebay.com//54474', 'www.ebay.com//58954', 'www.ebay.com//55584', 'www.ebay.com//43906', 'www.ebay.com//46054'}"
canon,g7,point & shoot,10.0,6.0,4.0,2.5,211.78,"{'www.ebay.com//58561', 'www.ebay.com//43055', 'www.ebay.com//42618', 'www.ebay.com//43895', 'www.ebay.com//44052', 'www.ebay.com//59887', 'www.gosale.com//1334', 'www.ebay.com//46850', 'www.ebay.com//53082', 'www.canon-europe.com//155', 'www.ebay.com//55304', 'www.alibaba.com//30284'}"
cannon,,,,,,,,{'www.alibaba.com//28315'}
cannon,,,,,,,16.0,{'www.alibaba.com//30476'}
cannon,,,,,,,2.0,{'www.alibaba.com//32794'}
cannon,,,,,,,16.0,{'www.alibaba.com//34183'}
cannon,,digital slr,10.0,3.0,,,,{'www.ebay.com//24439'}
cannon,,,,,,,,{'www.ebay.com//45348'}
cannon,,,,,,,,{'www.ebay.com//53808'}
canon,s2,point & shoot,5.0,12.0,,1.8,413.99,"{'www.ebay.com//56181', 'www.ebay.com//45993', 'www.ebay.com//25058', 'www.ebay.com//52885', 'www.ebay.com//54432', 'www.ebay.com//54933', 'www.ebay.com//45490', 'www.ebay.com//47153', 'www.ebay.com//48023', 'www.ebay.com//58798', 'www.ebay.com//46347', 'www.ebay.com//59717', 'www.ebay.com//56305', 'www.ebay.com//59238', 'www.ebay.com//56435', 'www.ebay.com//42977', 'www.gosale.com//1363', 'www.ebay.com//53064', 'www.ebay.com//55457', 'www.ebay.com//56436', 'www.ebay.com//43514', 'www.ebay.com//46401', 'www.ebay.com//43568', 'www.ebay.com//47190', 'www.ebay.com//59989', 'www.ebay.com//43404', 'www.ebay.com//56562', 'www.canon-europe.com//87', 'www.ebay.com//55886'}"
canon,elph s410,point & shoot,4.0,3.0,3.6,1.5,,"{'www.canon-europe.com//159', 'www.ebay.com//43208', 'www.ebay.com//54449', 'www.ebay.com//56463', 'www.ebay.com//46952', 'www.ebay.com//56079', 'www.ebay.com//46541', 'www.ebay.com//44671'}"
cannon,sd 1000,point & shoot,7.1,,,,,{'www.ebay.com//44322'}
canon,elph sd1300,point & shoot,12.1,4.0,4.0,2.7,148.34,"{'www.ebay.com//59025', 'www.ebay.com//46179', 'www.ebay.com//45533', 'www.ebay.com//43436', 'www.ebay.com//48172', 'www.shopmania.in//1096', 'www.ebay.com//24048', 'www.ebay.com//53580', 'www.gosale.com//1023', 'www.ebay.com//53543', 'www.ebay.com//48208', 'www.ebay.com//57168', 'www.ebay.com//57051', 'www.canon-europe.com//133', 'www.buzzillions.com//2638', 'www.ebay.com//60705', 'www.ebay.com//42787', 'www.ebay.com//60222', 'www.ebay.com//24853', 'www.ebay.com//52760', 'www.ebay.com//56351', 'www.ebay.com//54842', 'www.priceme.co.nz//2286', 'www.ebay.com//53949', 'www.ebay.com//58565', 'www.ebay.com//55560', 'www.ebay.com//54417', 'www.gosale.com//1430', 'www.buzzillions.com//2269', 'www.buzzillions.com//1897', 'www.ebay.com//55335'}"
canon,sd500,point & shoot,7.1,3.0,,2.0,379.49,"{'www.ebay.com//46459', 'www.gosale.com//1444', 'www.ebay.com//59405', 'www.canon-europe.com//86', 'www.ebay.com//53881'}"
canon,elph sd750,point & shoot,7.1,3.0,,3.0,206.98,"{'www.ebay.com//45340', 'www.ebay.com//59235', 'www.ebay.com//42849', 'www.ebay.com//53756', 'www.ebay.com//47476', 'www.ebay.com//57514', 'www.ebay.com//52910', 'www.ebay.com//59550', 'www.canon-europe.com//2', 'www.ebay.com//41885', 'www.ebay.com//47586', 'www.ebay.com//42177', 'www.ebay.com//56557', 'www.ebay.com//42885', 'www.ebay.com//44981', 'www.ebay.com//52672', 'www.ebay.com//44402', 'www.ebay.com//60321', 'www.ebay.com//59480', 'www.ebay.com//48158', 'www.ebay.com//48334', 'www.ebay.com//53727', 'www.ebay.com//55938', 'www.gosale.com//1303', 'www.ebay.com//52619', 'www.ebay.com//54239', 'www.ebay.com//53757', 'www.ebay.com//42857', 'www.ebay.com//54043', 'www.ebay.com//48488', 'www.gosale.com//929', 'www.ebay.com//55300', 'www.ebay.com//55989', 'www.ebay.com//42856', 'www.ebay.com//56979'}"
canon,sx120,point & shoot,10.0,10.0,4.0,3.0,241.49,"{'www.ebay.com//53633', 'www.ebay.com//55644', 'www.pricedekho.com//1094', 'www.shopmania.in//1189', 'www.ebay.com//24524', 'www.gosale.com//818', 'www.ebay.com//53519', 'www.buzzillions.com//1804', 'www.ebay.com//52652', 'www.ebay.com//47379', 'www.ebay.com//42386', 'www.ebay.com//46301', 'www.ebay.com//58600', 'www.ebay.com//45618', 'www.ebay.com//58704', 'www.ebay.com//56944', 'www.ebay.com//25060', 'www.canon-europe.com//138'}"
canon,sx210,point & shoot,14.1,14.0,4.0,3.0,275.99,"{'www.ebay.com//44251', 'www.shopmania.in//963', 'www.alibaba.com//36456', 'www.ebay.com//52825', 'www.ebay.com//24643', 'www.alibaba.com//30156', 'www.buzzillions.com//2015', 'www.ebay.com//58867', 'www.ebay.com//56160', 'www.ebay.com//44717', 'www.ebay.com//42608', 'www.ebay.com//24830', 'www.priceme.co.nz//1987', 'www.buzzillions.com//2126', 'www.canon-europe.com//82', 'www.ebay.com//55417', 'www.ebay.com//44005', 'www.ebay.com//47109', 'www.gosale.com//500'}"
canon,sx500,bridge camera,16.0,30.0,4.0,3.0,277.06,"{'www.gosale.com//762', 'www.ebay.com//56411', 'www.ebay.com//56813', 'www.ebay.com//48293', 'www.canon-europe.com//85', 'www.ebay.com//59007', 'www.ebay.com//52666', 'www.ebay.com//45107', 'www.ebay.com//43274', 'www.ebay.com//56940', 'www.ebay.com//56362', 'www.ebay.com//58558', 'www.pricedekho.com//737', 'www.ebay.com//44561', 'www.ebay.com//58747', 'www.ebay.com//43125', 'www.shopmania.in//1042', 'www.ebay.com//54587', 'www.ebay.com//60060', 'www.ebay.com//55361', 'www.ebay.com//47493', 'www.ebay.com//54960', 'www.ebay.com//45800', 'www.priceme.co.nz//1903', 'www.shopbot.com.au//1450', 'www.ebay.com//44768', 'www.ebay.com//46616', 'www.ebay.com//48044', 'www.ebay.com//42233', 'www.ebay.com//45421', 'www.ebay.com//42720', 'www.ebay.com//44708', 'www.ebay.com//60150', 'www.ebay.com//52771', 'www.gosale.com//574', 'www.ebay.com//47144', 'www.ebay.com//46123', 'www.ebay.com//55789', 'buy.net//5935', 'www.ebay.com//58802', 'www.ebay.com//41939', 'www.ebay.com//42249'}"
canon,sx510,bridge camera,12.1,30.0,4.0,3.0,169.33,"{'www.alibaba.com//27512', 'www.ebay.com//54705', 'www.ebay.com//54787', 'www.walmart.com//763', 'www.shopmania.in//1019', 'www.garricks.com.au//64', 'www.alibaba.com//35218', 'www.ebay.com//45804', 'www.alibaba.com//22736', 'www.gosale.com//1416', 'www.shopbot.com.au//1201', 'www.alibaba.com//37971', 'www.ebay.com//60143', 'www.mypriceindia.com//98', 'www.priceme.co.nz//2049', 'www.alibaba.com//35086', 'www.ebay.com//43712', 'buy.net//5901', 'www.alibaba.com//34353', 'www.alibaba.com//35887', 'www.ebay.com//48009', 'www.ebay.com//53518', 'www.alibaba.com//29936', 'www.henrys.com//96', 'www.ebay.com//60265', 'www.eglobalcentral.co.uk//34', 'www.alibaba.com//35229', 'www.ebay.com//59280', 'www.alibaba.com//34577', 'www.ebay.com//52719', 'www.ebay.com//43715', 'www.ebay.com//57488', 'www.ebay.com//44200', 'www.gosale.com//1445', 'www.price-hunt.com//9572', 'www.alibaba.com//26508', 'www.ebay.com//60187', 'www.ebay.com//60471', 'www.pricedekho.com//1152', 'www.wexphotographic.com//605', 'www.alibaba.com//29148', 'www.walmart.com//632', 'www.ebay.com//59068', 'www.alibaba.com//30068', 'www.ebay.com//53335', 'www.ebay.com//48292'}"
canon,t1i,digital slr,15.1,3.0,,3.0,464.76,"{'www.ebay.com//44245', 'www.ebay.com//52670', 'www.ebay.com//58768', 'www.ebay.com//47554', 'www.ebay.com//55041', 'www.alibaba.com//28838', 'www.ebay.com//56846', 'www.shopmania.in//885', 'www.ebay.com//47947', 'www.ebay.com//56675', 'www.ebay.com//55364', 'www.alibaba.com//37781', 'www.gosale.com//481', 'www.ebay.com//57154', 'www.ebay.com//54439', 'www.ebay.com//42924', 'www.ebay.com//53694', 'www.buzzillions.com//996', 'www.ebay.com//45786', 'www.ebay.com//48981', 'www.ebay.com//45869', 'www.ebay.com//55483', 'www.ebay.com//24308', 'www.ebay.com//59511', 'www.ebay.com//60182', 'www.ebay.com//54855', 'www.ebay.com//42556', 'www.ebay.com//56029', 'www.ebay.com//55004', 'www.ebay.com//46889', 'www.ebay.com//60520', 'www.ebay.com//44164', 'www.ebay.com//45977', 'www.ebay.com//48559', 'www.ebay.com//42255', 'www.ebay.com//46509', 'www.gosale.com//915', 'www.ebay.com//60804', 'www.ebay.com//47126', 'www.ebay.com//43992', 'www.ebay.com//59120', 'www.pricedekho.com//1145', 'www.ebay.com//46025', 'www.ebay.com//48439', 'www.alibaba.com//29139', 'www.ebay.com//48640', 'www.ebay.com//57151', 'www.ebay.com//53998', 'www.buzzillions.com//2152', 'www.ebay.com//60904', 'www.ebay.com//54832', 'www.ebay.com//54090', 'www.shopbot.com.au//1585', 'buy.net//5572', 'www.ebay.com//46856', 'www.ebay.com//48205', 'www.ebay.com//56371', 'www.ebay.com//42373', 'www.ebay.com//60281', 'www.ebay.com//57078', 'cammarkt.com//373', 'www.ebay.com//53981', 'www.ebay.com//24645', 'www.alibaba.com//33936', 'www.alibaba.com//29630', 'www.ebay.com//46405', 'www.ebay.com//54900', 'www.ebay.com//42513', 'www.ebay.com//56002'}"
canon,t2i,digital slr,18.0,2.0,10.0,3.0,286.08,"{'www.pricedekho.com//1074', 'www.ebay.com//43637', 'www.ebay.com//47227', 'www.ebay.com//42238', 'www.ebay.com//43864', 'www.priceme.co.nz//1726', 'www.ebay.com//47197', 'www.gosale.com//876', 'www.alibaba.com//34397', 'www.ebay.com//43870', 'www.ebay.com//47158', 'www.ebay.com//53653', 'www.alibaba.com//26915', 'www.ebay.com//58847', 'www.ebay.com//54834', 'www.ebay.com//60413', 'www.ebay.com//46288', 'www.pricedekho.com//1184', 'www.ebay.com//59762', 'www.ebay.com//44272', 'www.ebay.com//41957', 'www.ebay.com//53734', 'www.ebay.com//46432', 'www.ebay.com//55119', 'www.buzzillions.com//2113', 'www.shopmania.in//900', 'buy.net//6239', 'www.ebay.com//41888', 'www.gosale.com//1455', 'www.ebay.com//59525', 'www.shopmania.in//1451', 'www.shopmania.in//1448', 'www.ebay.com//45110', 'www.ebay.com//54896', 'www.ebay.com//43148', 'www.ebay.com//48092', 'www.ebay.com//56712', 'www.alibaba.com//28604', 'www.ebay.com//46196', 'www.ebay.com//52787', 'www.ebay.com//48432', 'www.ebay.com//44952', 'www.ebay.com//47116', 'www.ebay.com//47559', 'www.ebay.com//42429', 'www.ebay.com//43475', 'www.ebay.com//44837', 'www.ebay.com//42098', 'www.ebay.com//46714', 'www.price-hunt.com//9874', 'www.ebay.com//54820', 'www.ebay.com//44384', 'www.ebay.com//44035', 'www.ebay.com//56713', 'www.ebay.com//59807', 'www.ebay.com//60108', 'www.alibaba.com//24517', 'www.buzzillions.com//2633', 'www.ebay.com//47017', 'www.ebay.com//54658', 'www.alibaba.com//28102', 'www.ebay.com//60339', 'www.ebay.com//57720', 'www.ebay.com//47563', 'www.ebay.com//55867', 'www.ebay.com//43415', 'www.ebay.com//54529', 'www.ebay.com//44313', 'www.ebay.com//55854', 'www.ebay.com//47820', 'www.ebay.com//59543', 'www.ebay.com//55476', 'www.ebay.com//55328', 'www.ebay.com//53673', 'www.ebay.com//47558', 'www.alibaba.com//24940', 'www.ebay.com//43483', 'www.ebay.com//48617', 'www.ebay.com//52826', 'www.ebay.com//58549', 'cammarkt.com//251', 'www.ebay.com//45837', 'www.ebay.com//53469', 'www.ebay.com//56855', 'www.alibaba.com//27761', 'www.ebay.com//45654', 'www.pricedekho.com//998', 'www.ebay.com//47887', 'www.ebay.com//48349', 'www.buzzillions.com//2433', 'www.ebay.com//45563', 'cammarkt.com//320', 'www.ebay.com//47909', 'www.shopmania.in//1302', 'www.ebay.com//42741', 'www.ebay.com//58706', 'www.ebay.com//44932', 'www.ebay.com//59772', 'www.ebay.com//56128', 'www.ebay.com//43829', 'www.ebay.com//58868', 'cammarkt.com//207', 'www.alibaba.com//36755', 'www.ebay.com//55127'}"
