name,style,ounces,abv,ibu,brewery,city,state
Rude Parrot IPA,American IPA,16.0,5.9,75.0,7 Seas Brewing Company,Gig Harbor,WA
British Pale Ale,English Pale Ale,16.0,5.4,30.0,7 Seas Brewing Company,Gig Harbor,WA
Ballz Deep Double IPA,American Double / Imperial IPA,16.0,8.4,82.0,7 Seas Brewing Company,Gig Harbor,WA
Wolfman's Berliner,Berliner Weissbier,12.0,3.8,,7venth Sun,Dunedin,FL
Colorado Native,American Amber / Red Lager,12.0,5.5,26.0,AC Golden Brewing Company,Golden,CO
Jockamo IPA,American IPA,12.0,6.5,52.0,Abita Brewing Company,Abita Springs,LA
Purple Haze,Fruit / Vegetable Beer,12.0,4.2,13.0,Abita Brewing Company,Abita Springs,LA
Abita Amber,American Amber / Red Lager,12.0,4.5,17.0,Abita Brewing Company,Abita Springs,LA
Citra Ass Down,American IPA,16.0,8.2,68.0,Against The Grain Brewery,Louisville,KY
The Brown Note,American Brown Ale,16.0,5.0,20.0,Against The Grain Brewery,Louisville,KY
London Balling,English Barleywine,16.0,12.5,80.0,Against the Grain Brewery,Louisville,KY
35 K,Milk / Sweet Stout,16.0,7.7,25.0,Against the Grain Brewery,Louisville,KY
A Beer,American Pale Ale (APA),16.0,4.2,42.0,Against the Grain Brewery,Louisville,KY
Rules are Rules,German Pilsener,16.0,5.0,25.0,Against the Grain Brewery,Louisville,KY
Flesh Gourd'n,Pumpkin Ale,16.0,6.6,21.0,Against the Grain Brewery,Louisville,KY
Sho'nuff,Belgian Pale Ale,16.0,4.0,13.0,Against the Grain Brewery,Louisville,KY
Bloody Show,American Pilsner,16.0,5.5,17.0,Against the Grain Brewery,Louisville,KY
Rico Sauvin,American Double / Imperial IPA,16.0,7.6,68.0,Against the Grain Brewery,Louisville,KY
Coq de la Marche,Saison / Farmhouse Ale,16.0,5.1,38.0,Against the Grain Brewery,Louisville,KY
Kamen Knuddeln,American Wild Ale,16.0,6.5,,Against the Grain Brewery,Louisville,KY
Pile of Face,American IPA,16.0,6.0,65.0,Against the Grain Brewery,Louisville,KY
Maylani's Coconut Stout,American Stout,16.0,5.3,35.0,Airways Brewing Company,Kent,WA
Oatmeal PSA,American Pale Ale (APA),16.0,5.0,35.0,Airways Brewing Company,Kent,WA
Pre Flight Pilsner,American Pilsner,16.0,5.2,33.0,Airways Brewing Company,Kent,WA
P-Town Pilsner,American Pilsner,12.0,4.0,20.0,Alameda Brewing,Portland,OR
Klickitat Pale Ale,American Pale Ale (APA),12.0,5.3,36.0,Alameda Brewing,Portland,OR
Yellow Wolf Imperial IPA,American Double / Imperial IPA,12.0,8.2,103.0,Alameda Brewing,Portland,OR
Freeride APA,American Pale Ale (APA),12.0,5.3,40.0,Alaskan Brewing Company,Juneau,AK
Alaskan Amber,Altbier,12.0,5.3,18.0,Alaskan Brewing Company,Juneau,AK
Hopalicious,American Pale Ale (APA),12.0,5.7,,Ale Asylum,Madison,WI
Kentucky Kölsch,Kölsch,16.0,4.3,,Alltech's Lexington Brewing Company,Lexington,KY
Kentucky IPA,American IPA,16.0,6.5,,Alltech's Lexington Brewing Company,Lexington,KY
Dusty Trail Pale Ale,American Pale Ale (APA),16.0,5.4,,Amnesia Brewing Company,Washougal,WA
Damnesia,American IPA,16.0,6.2,,Amnesia Brewing Company,Washougal,WA
Desolation IPA,American IPA,16.0,6.2,43.0,Amnesia Brewing Company,Washougal,WA
Liberty Ale,American IPA,12.0,5.9,,Anchor Brewing Company,San Francisco,CA
IPA,American IPA,12.0,6.5,,Anchor Brewing Company,San Francisco,CA
Summer Wheat,American Pale Wheat Ale,12.0,4.5,,Anchor Brewing Company,San Francisco,CA
California Lager,American Amber / Red Lager,12.0,4.9,,Anchor Brewing Company,San Francisco,CA
Brotherhood Steam,California Common / Steam Beer,12.0,5.6,,Anchor Brewing Company,San Francisco,CA
Blood Orange Gose,Gose,12.0,4.2,,Anderson Valley Brewing Company,Boonville,CA
Keebarlin' Pale Ale,American Pale Ale (APA),12.0,4.2,,Anderson Valley Brewing Company,Boonville,CA
"the Kimmie, the Yink and the Holy Gose",Gose,12.0,4.8,,Anderson Valley Brewing Company,Boonville,CA
Fall Hornin',Pumpkin Ale,12.0,6.0,,Anderson Valley Brewing Company,Boonville,CA
Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,5.7,13.0,Anderson Valley Brewing Company,Boonville,CA
Summer Solstice,Cream Ale,12.0,5.6,4.0,Anderson Valley Brewing Company,Boonville,CA
Hop Ottin' IPA,American IPA,12.0,7.0,80.0,Anderson Valley Brewing Company,Boonville,CA
Boont Amber Ale,American Amber / Red Ale,12.0,5.8,15.0,Anderson Valley Brewing Company,Boonville,CA
El Steinber Dark Lager,Vienna Lager,16.0,5.5,25.0,Anderson Valley Brewing Company,Boonville,CA
Summer Solstice Cerveza Crema,Cream Ale,12.0,5.6,4.0,Anderson Valley Brewing Company,Boonville,CA
Winter Solstice,Winter Warmer,12.0,6.9,6.0,Anderson Valley Brewing Company,Boonville,CA
Poleeko Gold Pale Ale,American Pale Ale (APA),12.0,5.5,28.0,Anderson Valley Brewing Company,Boonville,CA
Charlie's Rye IPA,American IPA,16.0,6.0,,Angry Minnow,Hayward,WI
River Pig Pale Ale,American Pale Ale (APA),16.0,5.4,,Angry Minnow Brewing Company,Hayward,WI
Oaky's Oatmeal Stout,Oatmeal Stout,16.0,4.7,,Angry Minnow Brewing Company,Hayward,WI
Angry Orchard Apple Ginger,Cider,16.0,5.0,,Angry Orchard Cider Company,Cincinnati,OH
Angry Orchard Crisp Apple,Cider,16.0,5.0,,Angry Orchard Cider Company,Cincinnati,OH
Golden One,Belgian Pale Ale,12.0,6.8,,Anthem Brewing Company,Oklahoma City,OK
Arjuna,Witbier,12.0,6.0,,Anthem Brewing Company,Oklahoma City,OK
Uroboros,American Stout,12.0,8.5,,Anthem Brewing Company,Oklahoma City,OK
Long Leaf,American IPA,16.0,7.1,75.0,Appalachian Mountain Brewery,Boone,NC
Honey Badger Blonde,American Blonde Ale,16.0,4.7,19.0,Appalachian Mountain Brewery,Boone,NC
Porter,American Porter,16.0,6.0,23.0,Appalachian Mountain Brewery,Boone,NC
Sky High Rye,American Pale Ale (APA),12.0,6.0,55.0,Arcadia Brewing Company,Battle Creek,MI
Whitsun,American Pale Wheat Ale,12.0,6.2,17.0,Arcadia Brewing Company,Battle Creek,MI
On-On Ale,American Pale Ale (APA),12.0,5.2,,Arctic Craft Brewery,Colorado Springs,CO
Quakertown Stout,American Double / Imperial Stout,12.0,9.2,50.0,Armadillo Ale Works,Denton,TX
Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12.0,5.1,20.0,Armadillo Ale Works,Denton,TX
Mo's Gose,Gose,16.0,5.2,10.0,Armstrong Brewing Company,South San Francisco,CA
Green Bullet Organic India Pale Ale,American IPA,16.0,7.0,45.0,Asher Brewing Company,Boulder,CO
Rocket Girl,Kölsch,12.0,3.2,27.0,Asheville Brewing Company,Asheville,NC
Ninja Porter,American Porter,12.0,5.3,26.0,Asheville Brewing Company,Asheville,NC
Shiva IPA,American IPA,12.0,6.0,69.0,Asheville Brewing Company,Asheville,NC
Aslan Kölsch,Kölsch,16.0,4.8,,Aslan Brewing Company,Bellingham,WA
Aslan IPA,American IPA,16.0,7.7,,Aslan Brewing Company,Bellingham,WA
Aslan Amber,American Amber / Red Ale,16.0,7.7,,Aslan Brewing Company,Bellingham,WA
This Season's Blonde,American Blonde Ale,12.0,5.6,27.0,Aspen Brewing Company,Aspen,CO
Independence Pass Ale,American IPA,12.0,7.0,67.0,Aspen Brewing Company,Aspen,CO
Trolley Stop Stout,American Stout,12.0,5.7,40.0,Astoria Brewing Company,Astoria,OR
Bitter Bitch Imperial IPA,American Double / Imperial IPA,12.0,8.2,138.0,Astoria Brewing Company,Astoria,OR
Poop Deck Porter,American Porter,12.0,6.2,35.0,Astoria Brewing Company,Astoria,OR
Old Red Beard Amber Ale,American Amber / Red Ale,12.0,6.0,35.0,Astoria Brewing Company,Astoria,OR
Hop A-Peel,American Double / Imperial IPA,16.0,7.5,115.0,Atwater Brewery,Detroit,MI
Vanilla Java Porter,American Porter,16.0,5.5,12.0,Atwater Brewery,Detroit,MI
Michelada,Fruit / Vegetable Beer,16.0,5.2,,Atwater Brewery,Detroit,MI
Dirty Blonde Ale,American Blonde Ale,12.0,4.5,8.0,Atwater Brewery,Detroit,MI
Grand Circus IPA,American IPA,12.0,5.0,62.0,Atwater Brewery,Detroit,MI
Atwater's Lager,Munich Helles Lager,12.0,5.0,12.0,Atwater Brewery,Detroit,MI
Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,16.0,7.0,,Austin Beerworks,Austin,TX
Fire Eagle IPA,American IPA,12.0,6.2,,Austin Beerworks,Austin,TX
Peacemaker,American Pale Ale (APA),12.0,5.1,,Austin Beerworks,Austin,TX
Pearl-Snap,German Pilsener,12.0,5.3,,Austin Beerworks,Austin,TX
Black Thunder,Schwarzbier,12.0,5.2,,Austin Beerworks,Austin,TX
Raja,American Double / Imperial IPA,12.0,8.0,,Avery Brewing Company,Boulder,CO
Perzik Saison,Saison / Farmhouse Ale,12.0,6.4,,Avery Brewing Company,Boulder,CO
Avery Joe’s Premium American Pilsner,German Pilsener,12.0,4.7,42.0,Avery Brewing Company,Boulder,CO
White Rascal,Witbier,12.0,5.6,10.0,Avery Brewing Company,Boulder,CO
Avery India Pale Ale,American IPA,12.0,6.3,69.0,Avery Brewing Company,Boulder,CO
Ellie’s Brown Ale,American Brown Ale,12.0,5.5,17.0,Avery Brewing Company,Boulder,CO
Pumpkin Beast,Pumpkin Ale,12.0,6.2,17.0,Aviator Brewing Company,Fuquay-Varina,NC
OktoberBeast,Märzen / Oktoberfest,12.0,7.2,22.0,Aviator Brewing Company,Fuquay-Varina,NC
Mad Beach,American Pale Wheat Ale,12.0,4.8,23.0,Aviator Brewing Company,Fuquay-Varina,NC
Hog Wild India Pale Ale,American IPA,12.0,6.7,,Aviator Brewing Company,Fuquay-Varina,NC
Devils Tramping Ground Tripel,Tripel,12.0,9.2,5.0,Aviator Brewing Company,Fuquay-Varina,NC
Hot Rod Red,American Amber / Red Ale,12.0,6.1,41.0,Aviator Brewing Company,Fuquay-Varina,NC
Palate Mallet,American Double / Imperial IPA,12.0,8.6,,Back East Brewing Company,Bloomfield,CT
Back East Porter,American Porter,12.0,6.0,,Back East Brewing Company,Bloomfield,CT
Back East Golden Ale,American Blonde Ale,12.0,4.9,,Back East Brewing Company,Bloomfield,CT
Misty Mountain IPA,American IPA,12.0,7.0,,Back East Brewing Company,Bloomfield,CT
Back East Ale,American Amber / Red Ale,12.0,5.0,,Back East Brewing Company,Bloomfield,CT
Truck Stop Honey Brown Ale,English Brown Ale,12.0,6.0,,Back Forty Beer Company,Gadsden,AL
Naked Pig Pale Ale,American Pale Ale (APA),12.0,6.0,43.0,Back Forty Beer Company,Gadsden,AL
Topcutter India Pale Ale,American IPA,12.0,6.8,70.0,Bale Breaker Brewing Company,Yakima,WA
Field 41 Pale Ale,American Pale Ale (APA),12.0,4.4,38.0,Bale Breaker Brewing Company,Yakima,WA
Grapefruit Sculpin,American IPA,12.0,7.0,,Ballast Point Brewing Company,San Diego,CA
Even Keel,American IPA,12.0,3.8,40.0,Ballast Point Brewing Company,San Diego,CA
Ballast Point Pale Ale,Kölsch,12.0,5.2,23.0,Ballast Point Brewing Company,San Diego,CA
Big Eye India Pale Ale,American IPA,12.0,7.0,75.0,Ballast Point Brewing Company,San Diego,CA
Longfin Lager,Munich Helles Lager,12.0,4.6,,Ballast Point Brewing Company,San Diego,CA
Sculpin IPA,American IPA,12.0,7.0,70.0,Ballast Point Brewing Company,San Diego,CA
All Nighter Ale,Extra Special / Strong Bitter (ESB),12.0,4.5,,Banner Beer Company,Williamsburg,MA
Banner American Rye,Rye Beer,12.0,4.5,20.0,Banner Beer Company,Williamsburg,MA
Banner American Ale,American Amber / Red Ale,12.0,3.5,45.0,Banner Beer Company,Williamsburg,MA
Thai.p.a,American IPA,16.0,7.0,46.0,Bare Hands Brewery,Granger,IN
Barrio Blanco,American IPA,12.0,6.0,60.0,Barrio Brewing Company,Tucson,AZ
Barrio Tucson Blonde,American Blonde Ale,12.0,4.5,,Barrio Brewing Company,Tucson,AZ
Hop in the ‘Pool Helles,American Pilsner,12.0,4.9,22.0,Base Camp Brewing Co.,Portland,OR
Ultra Gnar Gnar IPA,American IPA,12.0,6.7,60.0,Base Camp Brewing Co.,Portland,OR
In-Tents India Pale Lager,American Pale Lager,12.0,6.8,62.0,Base Camp Brewing Co.,Portland,OR
Lost Meridian Wit,Witbier,12.0,5.0,20.0,Base Camp Brewing Co.,Portland,OR
Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,12.0,5.1,45.0,Base Camp Brewing Co.,Portland,OR
Wagon Party,California Common / Steam Beer,12.0,5.4,55.0,Bauhaus Brew Labs,Minneapolis,MN
Sky-Five,American IPA,12.0,6.7,70.0,Bauhaus Brew Labs,Minneapolis,MN
Stargrazer,Schwarzbier,12.0,5.0,28.0,Bauhaus Brew Labs,Minneapolis,MN
Wonderstuff,German Pilsener,12.0,5.4,48.0,Bauhaus Brew Labs,Minneapolis,MN
Tarnation California-Style Lager,California Common / Steam Beer,12.0,5.3,,Baxter Brewing Company,Lewiston,ME
On the Count of 3,Hefeweizen,16.0,7.0,42.0,Baxter Brewing Company,Lewiston,ME
Summer Swelter,American Pale Wheat Ale,12.0,4.7,,Baxter Brewing Company,Lewiston,ME
Phantom Punch Winter Stout,Foreign / Export Stout,12.0,6.8,,Baxter Brewing Company,Lewiston,ME
Hayride Autumn Ale,Rye Beer,12.0,6.6,,Baxter Brewing Company,Lewiston,ME
Celsius Summer Ale,American Pale Wheat Ale,12.0,4.7,,Baxter Brewing Company,Lewiston,ME
Amber Road,American Amber / Red Ale,12.0,5.5,35.0,Baxter Brewing Company,Lewiston,ME
Pamola Xtra Pale Ale,American Pale Ale (APA),12.0,4.9,28.0,Baxter Brewing Company,Lewiston,ME
Stowaway IPA,American IPA,12.0,6.9,69.0,Baxter Brewing Company,Lewiston,ME
Hoptopus Double IPA,American Double / Imperial IPA,16.0,8.8,108.0,Beach Brewing Company,Virginia Beach,VA
Watermelon Ale,Fruit / Vegetable Beer,12.0,5.0,10.0,Beer Works Brewery,Lowell,MA
Fenway American Pale Ale,American Pale Ale (APA),12.0,5.8,45.0,Beer Works Brewery,Lowell,MA
Back Bay IPA,American IPA,12.0,6.8,85.0,Beer Works Brewery,Lowell,MA
Bunker Hill Blueberry Ale,Other,12.0,4.8,16.0,Beer Works Brewery,Lowell,MA
Oberon,American Pale Wheat Ale,12.0,5.8,,Bell's Brewery,Kalamazoo,MI
Smitten,Rye Beer,16.0,6.0,,Bell's Brewery,Kalamazoo,MI
Winter White,Witbier,16.0,5.0,,Bell's Brewery,Kalamazoo,MI
Two Hearted,American IPA,16.0,7.0,,Bell's Brewery,Kalamazoo,MI
Best Brown,American Brown Ale,16.0,5.8,,Bell's Brewery,Kalamazoo,MI
Moar,English India Pale Ale (IPA),12.0,4.4,44.0,Bent Brewstillery,Roseville,MN
Uber Lupin Schwarz IPA,American Double / Imperial IPA,16.0,8.3,,Bent Brewstillery,Roseville,MN
Nordic Blonde,American Blonde Ale,12.0,5.7,27.0,Bent Brewstillery,Roseville,MN
Cold Press,American Black Ale,12.0,6.0,,Bent Paddle Brewing Company,Duluth,MN
Harness the Winter,American IPA,12.0,7.2,87.0,Bent Paddle Brewing Company,Duluth,MN
14° ESB,Extra Special / Strong Bitter (ESB),12.0,5.6,32.0,Bent Paddle Brewing Company,Duluth,MN
Bent Hop Golden IPA,American IPA,12.0,6.2,68.0,Bent Paddle Brewing Company,Duluth,MN
Bent Paddle Black Ale,American Black Ale,12.0,6.0,34.0,Bent Paddle Brewing Company,Duluth,MN
Venture Pils,German Pilsener,12.0,5.0,38.0,Bent Paddle Brewing Company,Duluth,MN
Lost Sailor IPA,English India Pale Ale (IPA),12.0,5.5,40.0,Berkshire Brewing Company,South Deerfield,MA
Steel Rail Extra Pale Ale,American Pale Ale (APA),12.0,5.3,20.0,Berkshire Brewing Company,South Deerfield,MA
La Frontera Premium IPA,American IPA,12.0,7.8,,Big Bend Brewing Company,Alpine,TX
Tejas Lager,Czech Pilsener,12.0,4.7,,Big Bend Brewing Company,Alpine,TX
Number 22 Porter,American Porter,12.0,6.4,,Big Bend Brewing Company,Alpine,TX
Big Bend Hefeweizen,Hefeweizen,12.0,5.6,,Big Bend Brewing Company,Alpine,TX
Terlingua Gold,American Blonde Ale,12.0,6.0,,Big Bend Brewing Company,Alpine,TX
Aprè Shred,American Strong Ale,16.0,8.1,17.0,Big Choice Brewing,Broomfield,CO
Hemlock Double IPA,American Double / Imperial IPA,12.0,9.5,104.0,Big Choice Brewing,Broomfield,CO
West Portal Colorado Common Summer Ale,California Common / Steam Beer,16.0,4.1,,Big Choice Brewing,Broomfield,CO
Disconnected Red,American Amber / Red Ale,16.0,6.7,85.0,Big Choice Brewing,Broomfield,CO
Big Elm IPA,American IPA,12.0,7.0,,Big Elm Brewing,Sheffield,MA
Gerry Dog Stout,American Stout,12.0,6.5,,Big Elm Brewing,Sheffield,MA
413 Farmhouse Ale,Saison / Farmhouse Ale,12.0,6.0,,Big Elm Brewing,Sheffield,MA
Dark Star,American Stout,16.0,8.0,54.0,Big Lake Brewing,Holland,MI
Ryecoe,American IPA,16.0,6.2,,Big Lake Brewing,Holland,MI
Blueberry Blonde,Fruit / Vegetable Beer,12.0,6.0,,Big Muddy Brewing,Murphysboro,IL
Galaxy IPA,American IPA,16.0,7.5,60.0,Big Muddy Brewing,Murphysboro,IL
Big River Pilsner,Czech Pilsener,12.0,5.0,32.0,Big River Brewing Company,Chattanooga,TN
House Brand IPA,American IPA,12.0,6.0,55.0,Big River Brewing Company,Chattanooga,TN
Big Sky IPA,American IPA,12.0,6.2,65.0,Big Sky Brewing Company,Missoula,MT
Scape Goat Pale Ale,English Pale Ale,12.0,5.0,40.0,Big Sky Brewing Company,Missoula,MT
Montana Trout Slayer Ale,American Pale Wheat Ale,12.0,5.0,35.0,Big Sky Brewing Company,Missoula,MT
Moose Drool Brown Ale,American Brown Ale,12.0,5.1,26.0,Big Sky Brewing Company,Missoula,MT
Powder Hound Winter Ale,English Strong Ale,12.0,7.2,60.0,Big Sky Brewing Company,Missoula,MT
Summer Honey,American Blonde Ale,12.0,4.7,,Big Sky Brewing Company,Missoula,MT
Arcus IPA,American IPA,12.0,6.9,81.0,Big Storm Brewing Company,Odessa,FL
Wavemaker,American Amber / Red Ale,12.0,5.8,38.0,Big Storm Brewing Company,Odessa,FL
Jack Pine Savage,American Pale Ale (APA),16.0,5.3,43.0,Big Wood Brewery,Vadnais Heights,MN
Forest Fire Imperial Smoked Rye,Rye Beer,16.0,9.9,85.0,Big Wood Brewery,Vadnais Heights,MN
Bad Axe Imperial IPA,American Double / Imperial IPA,16.0,9.8,76.0,Big Wood Brewery,Vadnais Heights,MN
Morning Wood,Oatmeal Stout,16.0,5.5,35.0,Big Wood Brewery,Vadnais Heights,MN
Bark Bite IPA,American IPA,16.0,6.6,50.0,Big Wood Brewery,Vadnais Heights,MN
Jalapeno Pale Ale,American Pale Ale (APA),16.0,5.5,45.0,Birdsong Brewing Company,Charlotte,NC
Blown Out Brown,American Brown Ale,12.0,5.2,,Bitter Root Brewing,Hamilton,MT
Single Hop Ale,American Pale Ale (APA),12.0,6.3,,Bitter Root Brewing,Hamilton,MT
Sawtooth Ale,American Blonde Ale,12.0,5.4,,Bitter Root Brewing,Hamilton,MT
Saucy Intruder,Rye Beer,16.0,7.2,75.0,Black Acre Brewing Co.,Indianapolis,IN
Deception,American Blonde Ale,12.0,4.5,16.0,Black Market Brewing Company,Temecula,CA
Blackmarket Rye IPA,American IPA,12.0,7.5,35.0,Black Market Brewing Company,Temecula,CA
Black Market Hefeweizen,Hefeweizen,12.0,5.0,8.0,Black Market Brewing Company,Temecula,CA
Aftermath Pale Ale,American Pale Ale (APA),12.0,5.8,44.0,Black Market Brewing Company,Temecula,CA
American India Red Ale,American Strong Ale,12.0,7.1,83.0,Black Shirt Brewing Company,Denver,CO
American Red Porter,American Porter,12.0,7.1,45.0,Black Shirt Brewing Company,Denver,CO
American Red Saison,Saison / Farmhouse Ale,12.0,7.8,34.0,Black Shirt Brewing Company,Denver,CO
Colorado Red Ale,American Amber / Red Ale,12.0,6.6,44.0,Black Shirt Brewing Company,Denver,CO
Saddle Bronc Brown Ale,American Brown Ale,12.0,4.8,16.0,Black Tooth Brewing Company,Sheridan,WY
Bomber Mountain Amber Ale,American Amber / Red Ale,12.0,4.6,20.0,Black Tooth Brewing Company,Sheridan,WY
Flying Sailor,Rye Beer,12.0,7.3,,Blackrocks Brewery,Marquette,MA
Nordskye,American IPA,12.0,4.8,47.0,Blackrocks Brewery,Marquette,MI
North Third Stout,Foreign / Export Stout,12.0,6.0,30.0,Blackrocks Brewery,Marquette,MI
Honey Lav,American Pale Wheat Ale,12.0,5.2,,Blackrocks Brewery,Marquette,MI
Coconut Brown Ale,American Brown Ale,12.0,6.8,,Blackrocks Brewery,Marquette,MI
51K IPA,American IPA,12.0,7.0,51.0,Blackrocks Brewery,Marquette,MI
Grand Rabbits,Cream Ale,12.0,5.5,,Blackrocks Brewery,Marquette,MI
1800 Big Log Wheat,American Pale Wheat Ale,12.0,5.0,,Blue Blood Brewing Company,Lincoln,NE
Double Play Pilsner,American Pilsner,12.0,,,Blue Blood Brewing Company,Lincoln,NE
Brewerhood Brown Ale,American Brown Ale,12.0,5.5,,Blue Blood Brewing Company,Lincoln,NE
Last Call Imperial Amber Ale,American Amber / Red Ale,12.0,8.0,,Blue Blood Brewing Company,Lincoln,NE
Pernicious Double IPA,American Double / Imperial IPA,12.0,9.6,,Blue Blood Brewing Company,Lincoln,NE
6-4-3 Double Play Pilsner,German Pilsener,12.0,5.2,,Blue Blood Brewing Company,Lincoln,NE
N Street Drive-In 50th Anniversary IPA,American Double / Imperial IPA,12.0,,,Blue Blood Brewing Company,Lincoln,NE
467 Ethan's Stout,American Stout,12.0,5.0,,Blue Blood Brewing Company,Lincoln,NE
1335 Wicked Snout,Saison / Farmhouse Ale,12.0,6.4,,Blue Blood Brewing Company,Lincoln,NE
543 Skull Creek Fresh Hopped Pale Ale,American Pale Ale (APA),12.0,4.5,,Blue Blood Brewing Company,Lincoln,NE
1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12.0,5.6,37.0,Blue Blood Brewing Company,Lincoln,NE
834 Happy As Ale,American Pale Ale (APA),12.0,4.6,35.0,Blue Blood Brewing Company,Lincoln,NE
Yellow Collar,Mead,12.0,5.9,,Blue Dog Mead,Eugene,OR
Green Collar,Mead,12.0,5.9,,Blue Dog Mead,Eugene,OR
Quarter Mile Double IPA,American Double / Imperial IPA,12.0,8.0,80.0,Blue Hills Brewery,Canton,MA
