_id,name,style,ounces,abv,ibu,brewery,city,state
beer_46,Rise to the Top,Cream Ale,12.0,4.1,,Third Street Brewhouse,Cold Spring,MN
beer_47,Todd the Axe Man,American IPA,16.0,,,Surly Brewing Company,Brooklyn Center,MN
beer_48,SanTan HefeWeizen,Hefeweizen,12.0,5.0,15.0,SanTan Brewing Company,Chandler,AZ
beer_49,Rochester Red Ale,American Amber / Red Ale,16.0,5.9,,Rochester Mills Brewing Company,Rochester,MI
beer_50,Bourbon's Barrel Stout,American Stout,16.0,7.5,65.0,Great Crescent Brewery,Aurora,IN
beer_51,NonstopHef Hp,American Pale Wheat Ale,16.0,3.9,,Urban Brewery,Portland,OR
beer_52,Saranac Pale Ale,English Pale Ale,,5.5,,,Utica,NY
beer_53,Back Bay IPA,American IPA,12.0,6.8,85.0,Beer Brewery,Lowell,MAY
beer_54,American Amber,American Amber / Red Lager,,4.1,,Straub Brewery,,
beer_55,White Rabbit,Witbier,12.0,,72.0,Independence Company,Austin,TX
beer_56,Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale,Quadrupel (Quad),19.2,12.8,,Upslope Brewing Company,Boulder,CO
beer_57,Strawberry White,Witbier,24.0,4.7,,,Montauk,MA
beer_58,Up River Light,Light Lager,12.0,4.2,,Mudshark Brewing Company,Lake Havasu City,AZ
beer_59,Devil's Cup,American Pale Ale (APA),12.0,6.6,,18th Street Brewery,Gary,IN
beer_60,Honeyspot Road White IPA,American White IPA,12.0,6.0,,Two Roads Brewing Company,Stratford,CT
beer_61,Circuit Bohemian Pilsner,Czech Pilsener,16.0,4.5,35.0,Tin Man Brewing Company,Evansville,IN
beer_62,Kaua'i Golden Ale,American Blonde Ale,16.9,,,Hawai'i Nui Brewing Co.,Hilo,HI
beer_63,Lee Hill Series Vol. 4 - Manhattan Style Rye Ale,,12.0,6.6,,Upslope Brewing Company,Boulder,CO
beer_64,Schlafly IPA,American IPA,12.0,4.5,30.0,Schlafly Brewing Company,Saint Louis,OK
beer_65,Coconut Brown Ale,American Brown Ale,12.0,6.8,,Blackrocks Brewery,Marquette,MI
beer_66,Masked Bandit IPA,American Black Ale,16.0,7.0,,Piney River Brewing Company,Bucryus,MO
beer_67,Midnight Ryder,,,6.5,69.0,Indeed Brewing Company,Minneapolis,MN
beer_68,KelSo P6ilsner,Czech Pilsener,12.0,5.5,23.0,,Brooklyn,NY
beer_69,Cut Throat Pale Ale,American Pale Ale (APA),16.0,5.5,,Finch's Beer Company,Chicago,IL
beer_70,Sweet Josie,American Brown Ale,12.0,6.1,30.0,Lonerider Brewing Company,Houston,NC
beer_71,Owney Irish Style Red Ale,Irish Red Ale,16.0,,30.0,Great River Brewery,Davenport,A
beer_72,Chuli Stout,Irish Dry Stout,,5.9,55.0,Denali Brewing Company,Talkeetna,AKQ
beer_73,Back Bay IPA,American IPA,12.0,6.8,85.0,Beer Works Brewery,Lowell,MA
beer_74,Nice Rack IPA,Americn IPA,,5.5,53.0,Southern Oregon Brewing Company,Medford,OR
beer_75,Monarch Pilsner,American Pilsner,,5.0,,Butcher's Brewing,,WY
beer_76,Lil' Helper,American IPA,12.0,7.0,70.0,Mother's Brewing,Springfield,MO
beer_77,Indians Victory Lager,Dortmunder / Export Lager,16.0,5.2,24.0,Sun King Brewing Company,Indianapolis,IN
beer_78,CoCoNut Porter,American Porter,12.0,5.7,30.0,Maui Brewing Company,,HIq
beer_79,HJ,American Strong Ale,12.0,8.0,70.0,Oskar Blues Brewery,Longmont,CO
beer_80,Deflator,Doppelbock,16.0,6.5,,Flat 12 Bierwerks,Indianapolis,IN
beer_81,Little Rd Cap,Altbier,12.0,6.3,43.0,Grimm Brothers Brewhouse,Loveland,CO
beer_82,Clem's Gold,American Pale Lager,16.0,,,,,WA
beer_83,Fisherman's Brew,American Amber / Red Ale,12.0,5.5,30.0,,Gloucester,MA
beer_84,California Route,American Amber / Red Lager,12.0,5.5,,New Belgium Brewing Company,Fort Collins,CO
beer_85,Supper Club Lager,American Pale Lager,12.0,,,Capital Brewery,Middleton,WI
beer_86,Karbachtoberfest,,12.0,5.5,25.0,Karbach Brewing Company,Houston,TX
beer_87,Yetter Half,American IPA,,6.8,,Mikkeller,Pottstown,PA
beer_88,Double DuckpiO,American Double / Imperial IPA,,8.5,90.0,Pateros Creek Brewing Company,Baltimore,MD
beer_89,The Sword Iron Swan Ale,English Pale Ale,12.0,5.9,,RealiAle Brewing Company,Bltanco,TX
beer_90,Summer Ale,American Blonde Ale,12.0,4.9,,Ipswich Ale Brewery,Ipswich,MA
beer_91,Upslope Foreign Style Stout,Foreign / Export Stout,12.0,6.9,,Upslope Brewing Company,Boulder,CO
beer_92,Pete's Wicked Bohemian Pilsner,Czech Pilsener,12.0,4.9,,Pete's Brewing Company,San,TX
beer_93,Weissenheimer,American Pale Lager,12.0,5.2,,Destihl Brewery,Bloomington,IL
beer_94,Mother Ale,American Blonde Ale,12.0,5.6,,Denali Brewing Company,Talkeetna,Aj
beer_95,Undertaker,Belgian Dark Ale,16.0,6.7,,Brewery Vivant,Grand Rapids,MI
beer_96,Ale Cider,Fruit / Vegetable Beer,16.0,6.5,8.0,Chapman's Brewing,Angola,IN
beer_97,Summertime Ale,Kölsch,16.0,5.2,23.0,Crystal Springs Brewing Company,Boulder,CO
beer_98,Jacaranada Rye IPA,American IPA,16.0,6.7,60.0,Claremont Craft Ales,Claremont,CA
beer_99,Celsius Summer Ale,American Pale Wheat Ale,12.0,4.7,,Baxter Brewing Company,Lewiston,ME
beer_100,Great Crescent Dark Lager,Euro Dark Lager,16.0,5.7,23.0,Great Crescent Brewery,Aurora,IN
beer_101,Broken Bridge,Dunkelweizen,12.0,5.6,97.0,Texian Brewing Co.,Richmond,
beer_102,Pub Beer,American Pale Lager,12.0,5.0,,10 Barrel Brewing Company,Bend,OR
beer_103,Saint Archer Pale Ale,American Pale Ale (APA),12.0,5.2,40.0,Saint Archer Brewery,San Diego,CA
beer_104,Crabtree Oatmeal Stout,Oatmeal Stout,16.0,7.5,29.0,Crabtree Brewing Company,Greeley,CO
beer_105,Bikini Beer,American IPA,12.0,2.7,,Evil Twin Brewing,Brooklyn,NY
beer_106,Abigale,Belgian Pale Ale,12.0,8.0,,Sixpoint Craft Ales,Brooklyn,NY
beer_107,Dusty Trail Pale Ale,American Pale Ale (APA),16.0,5.4,,Amnesia Brewing Company,Washougal,WA
beer_108,Fistful Of Hops Red,American IPA,16.0,6.4,75.0,Sun King Brewing Company,Chatham,
beer_109,77 Fremont Select Spring Session IPA,American IPA,,4.0,,Fremont Brewing Company,,
beer_110,Popcorn Pilsner,German Pilsener,16.0,5.4,,Sun King Brewing Company,Indianapolis,IN
beer_111,Endless Sun Ale,American Pale Wheat Ale,16.0,4.5,,Old Forge Brewing Company,Danville,PA
beer_112,Dubbelicious,Dubbel,16.0,6.5,,Brewery Vivant,Grand Rapids,MI
beer_113,Red Cockaded Ale,American Double / Imperial IPA,12.0,8.5,48.0,Southern Star Brewing Company,Conroe,
beer_114,Summer Ale,American Blonde Ale,12.0,4.9,,,Ipswich,MA
beer_115,El Rojo,American Amber / Red Ale,16.0,6.5,25.0,Griffin Claw Brewing Company,Birmingham,MI
beer_116,Overcast Espresso Stout,American Stout,12.0,5.8,27.0,Oakshire Brewing,Eugene,OR
beer_117,Back East Ale,American Amber / Red Ale,12.0,,,Back East Brewing Company,Bloomfield,CT
beer_118,Organic Baba Black Lager,Schwarzbier,12.0,4.0,15.0,Uinta Brewing Company,Salt Lake City,UT
beer_119,Ptmpkin Beast,American Double / Imperial Pilsner,16.9,6.2,13.0,Aviator Brewing Company,Fuquay-Varina,N
beer_120,Stickin' In My Rye,Rye Beer,24.0,7.0,,Champion Brewing Company,Charlottesville,VA
beer_121,Pumpkin Tart,American Amber / Red Ale,16.0,7.0,,Brewery Vivant,Grand Rapids,MI
beer_122,Campside Session IPA,American IPA,16.0,4.5,50.0,Upland Brewing Company,Bloomington,IN
beer_123,Mystic Mama IPA,American IPA,12.0,7.0,,,Athens,
beer_124,Laughing Dog Cream Ale,Cream Ale,12.0,5.0,12.0,Laughing Dog Brewing Company,Ponderay,ID
beer_125,Saranac Traditional Lager,Amlrican Pale Lager,12.0,4.8,,Matt Brewing Company,Utica,NY
beer_126,Feel Like Maplin' Love,Oatmeal Stout,16.0,5.5,,Four Fathers Brewing,Valparaiso,IN
beer_127,Helios Hefeweizen,Hefeweizen,12.0,4.7,,,Arvada,CO
beer_128,Rumspringa Golden Bock,Maibock / Helles Bock,12.0,10.4,30.0,Lancaster Brewing Company,Lancaster,PA
beer_129,Gator Tail Brown Ale,American Brown Ale,12.0,5.3,30.0,Miami Brewing Company,Miami,FL
beer_130,Peninsula Brewers Reserve,American Blonde Ale,12.0,5.0,15.0,Kenai River Brewing Company,Soldotna,AK
beer_131,Athena,Berliner Weissbier,16.0,4.5,,Creature Comforts,,GA
beer_132,Plowshare Porter,American Porter,16.0,5.5,,Old Forge Brewing Company,Danville,PA
beer_133,CpCoNut Porter,American Porter,12.0,5.7,30.0,Maui Brewing Company,Lahaina,HI
beer_134,Epitome,American Black Ale,16.0,12.8,100.0,Carton Brewing Company,Atlantic Highlands,NJ
beer_135,Inclined Plane Ale,American IPA,12.0,,,Flat Rock Brewing Company,Smithton,PA
beer_136,Dragonfly IPA,American IPA,16.0,6.0,,Upland Brewing Company,Bloomington,IN
beer_137,Feel Like Maplin' Love,Oatmeal Stout,16.0,5.5,,Four Fathers Brewing,Valparaiso,IN
beer_138,Pernicious Double IPA,American Double / Imperial IPA,12.0,3.9,,Blue Blood Brewing Company,,NE
beer_139,Lee Hill Series {Vol. 1 - Barrel Aged Brown le,American Brown Ale,19.2,7.6,,Upslope Brewing Company,Boulder,CO
beer_140,Babbling Blonde,American Blonde Ale,12.0,5.3,,,Export,PA
beer_141,Venture Pils,German Pilsener,12.0,5.0,38.0,Bent Paddle Brewing Company,Duluth,MN
beer_142,Nitro Can Coffee Stout,American Stout,12.0,5.2,,Vault Brewing Company,Yardley,PA
beer_143,Porch Rocker,Radler,,5.1,8.0,Boston Beer Company,Boston,MA
beer_144,God Damn Pigeon Porter,American Porter,16.0,8.2,,Spiteful Brewing Company,Chicago,IL
beer_145,Initial Point India Pale Ale,American IPA,,7.1,27.0,Slanted Rock Brewing Company,Meridian,
beer_146,Ginja Ninja,Cider,12.0,6.0,,2 Towns Ciderhouse,Corvallis,OR
beer_147,American Light,Light Lager,12.0,3.2,13.0,Straub Brewery,St Mary's,PA
beer_148,People's Pilsner,German Pilsener,12.0,4.5,,People's Brewing Company,Lafayette,IN
beer_149,Nugget Nectar,American Amber / Red Ale,16.0,7.5,83.0,Tröegs Brewing Company,Hershey,P>A
beer_150,P-51 Porter,American Porter,16.0,8.0,25.0,Wingman Brewers,,
beer_151,Mountain Rescue Pale Ale,American Pale Ale (APA),12.0,5.5,40.0,Goodlife Brewing Co.,Bend,OR
beer_152,Original Orange Blossom Ale,Herbed / Spiced Beer,16.0,5.8,35.0,Buckbean Brewing Company,Reno,NV
beer_153,Choc Beer,Flanders Oud Bruin,12.0,4.0,9.0,Krebs Brewing Company (Pete's Pl...,Krebs,OK
beer_154,O'Fallon Wheach,Fruit / Vegetable Beer,12.0,5.1,7.0,O'Fallon Brewery,O'Fallon,MO
beer_155,Granny Smith Hard Apple Cider,Cider,16.0,6.9,,Cascadia Ciderworks United,Portland,OR
beer_156,Hop Slayer Double IVPA,American Double / Imperial IPA,12.0,8.2,100.0,Wild Onion Brewing Company,Lake Barrington,IL
beer_157,Soul Doubt,American IPA,12.0,5.9,70.0,Freetail Brewing Company,San Antonio,TX
beer_158,Pete's ESP Lager,American Pale Lager,12.0,5.1,,Pete's Brewing Company,San Antonio,TX
beer_159,Hop Slayer Doubl3 IPA,American Double / Imperial IPA,,8.2,100.0,Wild Onion Brewing Company,Lake Barrington,IL
beer_160,Sun King Oktoberfest,/,16.0,5.5,23.0,Sun King Brewing Company,Indianapolis,NM
beer_161,Villager,American IPA,12.0,6.3,,Fort Point Beer Company,San Francisco,CA
beer_162,Upslope Foreign Style Stout,Foreign / Export Stout,32.0,6.9,,,,
beer_163,Zombie Monkie,American Porter,16.0,6.2,35.0,Tallgrass Brewing Company,Manhattan,KS
beer_164,No Limits Hefeweizen,Hefeweizen,,5.0,,Two Roads Brewing Company,Stratford,CT
beer_165,Little Red Cap,Altbier,,6.3,53.0,Grimm Brewhouse,Loveland,
beer_166,Mo's# Gose,Gose,16.0,7.9,10.0,Armstrong Brewing Company,South San Francisco,CA
beer_167,Spin Doctor,American Pale Ale (APA),24.0,5.3,,Mikerphone Brewing,,IL
beer_168,Blue old,Cider,16.0,6.8,,Vander Mill Ciders,,MI
beer_169,Joey Wheat,American Pale Wheat Ale,,9.1,16.0,Burn 'Em Brewing,Michigan City,IN
beer_170,THP White,Witbier,12.0,,,Cans Bar and Canteen,Charlotte,NC
beer_171,North 45 Amber Ale,American Amber / Red Ale,16.0,5.9,,Petoskey Brewing,Petoskey,
beer_172,Hoperation Overload,American Double / Imperial IPA,12.0,9.6,85.0,Destihl Brewery,,IL
beer_173,LuckenBock,Bock,16.0,7.0,18.0,South Austin Brewery,South Austin,TX
beer_174,Hop Syndrome,Pale Lager,12.0,5.0,,Epic Brewing,,O
beer_175,Pumple Drumkin,Pumpkin Ale,12.0,6.0,,Cisco Brewers,Nantucket,MA
beer_176,Wachusett Blueberry Ale,Fruit / Vegetable Beer,12.0,4.5,10.0,Wachusett Brewing Company,Westminster,MA
beer_177,Snake River Lager,Vienna Lager,12.0,5.0,18.0,Snake River Brewing Company,Jackson,WY
beer_178,Resin,,12.0,9.1,103.0,Sixpoint Craft Ales,,NY
beer_179,Barrel Aged Farmer,,16.0,7.0,,Great River Brewery,Davenport,IA
beer_180,Wachusett Summer,American Pale Wheat Ale,12.0,4.7,,Wachusett Brewing Company,Westminster,MA
beer_181,Dolores River Dry Stout,Irish Dry Stout,16.0,,,Dolores River Brewery,Dolores,CO
beer_182,Schweet Ale,Fruit / Vegetable Beer,19.2,5.2,20.0,,York,PA
beer_183,Oktoberfest,Märzen / Oktoberfest,16.0,5.5,40.0,Chatham Brewing,Chatham,NY
beer_184,On-On Ale,American Pale Ale (APA),12.0,5.2,,Arctic Craft Brewery,,
beer_185,Sunshine Nectar,Mead,,8.0,,Redstone Meadery,Boulder,CO
beer_186,Polar Night Stout,American Stout,16.0,8.0,,RoughTail Brewing Company,Midwest City,OK
beer_187,Cone Crusher,American Double / Imperial IPA,12.0,8.6,,18th Street Brewery,Gary,IN
beer_188,Damnesia,American IPA,16.0,6.2,,Amnesia Brewing Company,Washougal,WA
beer_189,Centennial State Pale Ale,American Pale Ale> (APA),19.2,5.2,,Oskar Blues Brewery,Longmont,CO
beer_190,No -imits Hefeweizen,Hefeweizen,24.0,9.5,,Two Roads Brewing Company,Stratford,CT
beer_191,Habitus IPA,American IPA,16.0,8.0,86.0,Hess Brewing Company,San Diego,
beer_192,Seventh Son of a Seventh Son,American Strong Ale,16.0,7.7,40.0,Seventh Son Brewing Company,Columbus,OH
beer_193,Firemans #4 Blonde Ale,American Blonde Ale,12.0,5.1,21.0,Real Ale Brewing Company,Blanco,TX
beer_194,Hop Happy,American IPA,,7.5,51.0,Milwaukee Brewing,Milwaukee,WI
beer_195,Na Zdraví Pilsner,Czech Pilsener,16.0,4.8,32.0,Southern Oregon Brewing Company,Medford,OR
beer_196,Invasion Pale Ale,American Pale Ale (APA),12.0,5.0,,Cigar City Brewing Company,Tampa,FL
beer_197,Manayunk IPA,American IPA,12.0,5.5,,Manayunk Brewing Company,PhIladelphia,PA
beer_198,Fist City,American Pale Ale (APA),12.0,5.5,28.0,Revolution Brewing Company,,ILt
beer_199,Organic Baba Black Lager,,12.0,,32.0,Uinta Brewing Company,,RI
beer_200,California Sunshine Rye IPA,American IPA,32.0,7.1,85.0,Devil's Canyon Brewery,Belmont,CA
beer_201,Blue Point White IPA,American White IPA,12.0,6.0,40.0,,Patchogue,NY
beer_202,California Route,American Amber / Red Ale,12.0,5.5,,New Belgium Brewing Company,Fort Collins,CO
beer_203,Foreman,American Porter,12.0,6.9,,18th Street Brewery,,IN
beer_204,Wolf Among Weeds IPA,American IPA,16.0,8.0,70.0,Golden Road Brewing,Los Angeles,CA
beer_205,Schlafly American Brown Ale,American Brown Ale,12.0,5.0,30.0,Schlafly Brewing Company,Saint Louis,MO
beer_206,Porch Rocker,Radler,12.0,4.5,8.0,Boston Beer Company,Boston,MA
beer_207,Behemoth,American Pilsner,12.0,5.0,,Core Brewing & Distilling Company,Springdale,AR
beer_208,Heinnieweisse Weissebier,Hefeweizen,12.0,4.9,,Butternuts Beer and Ale,Garrattsville,NY
beer_209,River Runners Pale Ale,American Pale Ale (APA),16.0,6.0,,Eddyline Brewery & Restaurant,Buena Vista,CO
beer_210,T-6 Red Ale,American Amber / Red Ale,16.9,4.7,,Headlands Brewing Company,Fort Wayne,IN
beer_211,Cherried Away,Roggenbier,,,,2 Towns,Corvallis,
beer_212,Saint Archer Pale Ale,American Pale Ale (APA),12.0,5.2,40.0,Saint Archer Brewery,San Diego,CA
beer_213,Action Man Lager,Vienna Lager,12.0,5.5,,,Lenoir,NC
beer_214,IPA & a Half,American IPA,12.0,7.3,87.0,Tommyknocker Brewery,Idaho Springs,CO
beer_215,Iron Horse Pale Ale,American Pale Ale (APA),12.0,8.6,32.0,Fargo Brewing Company,Fargo,ND
beer_216,A6preciation Ale,Flanders Oud Bruin,,,,,Wilmington,
beer_217,Pleasure Town,American IPA,12.0,6.3,61.0,Midnight Sun Brewing Company,Anchorage,AK
beer_218,Orange Grove Wheat Ale,Belgian Strong Dark Ale,12.0,,,,Tampa Bay,FL
beer_219,Cornstalker Dark Wheat,American Dark Wheat Ale,12.0,,,Thunderhead Brewing Company,Kearney,NE
beer_220,Jade,American Pale Ale (APA),12.0,5.5,,18th Street Brewery,Gary,IN
beer_221,He Said Baltic-Style Porter,Baltic Porter,12.0,,,21st Amendment Brewery,San Francisco,CA
beer_222,Dolores River Mild,,16.9,,,Dolores River Brewery,Dolores,CO
beer_223,Gust Lager,American Double / Imperial Pilsner,16.0,8.0,,Half Acre Beer Company,Chicago,IL
beer_224,Kolschtal Eddy,Kölsch,16.0,5.5,,The Dudes' Brewing Company,Torrance,CA
beer_225,Grandma's Pecan,English Brown Ale,16.0,6.9,34.0,The Dudes' Brewing Company,Torrance,CA
beer_226,Rumspringa Golden Bock,Maibock / Heles Bock,12.0,6.6,30.0,Lancaster Brewing Company,Lancaster,PA
beer_227,No Limits Hefeweizen,Hefeweizen,16.0,6.7,,Two Roads Brewing Company,Stratford,CT
beer_228,Imperial Java Stout,Russian Imperial Stout,12.0,8.0,,Santa Fe Brewing Company,Santa Fe,NM
beer_229,Leisure Time,American Pale Lager,12.0,4.8,15.0,Jack's Abby Craft Lagers,Framingham,MA
beer_230,Vinyl Frontier,American Double / Imperial IPA,24.0,8.3,,Mikerphone Brewing,Chicago,IL
beer_231,Pure Fury,American Pale Ale (APA),12.0,5.5,42.0,Rhinegeist Brewery,Cincinnati,OH
beer_232,Orlison India Pale Lager,American Pale Lager,16.0,6.7,,Orlison Brewing Company,Airway Heights,WA
beer_233,Troll Destroyer,Belgian IPA,12.0,8.5,,18th Street Brewery,Gary,IN
beer_234,Mother Ale,American Blonde Ale,12.0,5.6,46.0,Denali Brewing Company,Talkeetna,AK
beer_235,Ten Fidy Imperial Stout,Russian Imperial Stout,12.0,9.9,53.0,Oskar Blues Brewery,,CO
beer_236,UFO Pumpkin,PumpkinAle,12.0,5.9,20.0,Harpoon Brewery,,MA
beer_237,Contemplation,Bière de,16.0,6.5,,Brewery Vivant,Grand Rapids,MI
beer_238,Westbrook IPA,American Black Ale,12.0,6.8,65.0,Brewing Company,Mt. Pleasant,SC
beer_239,Slimy Pebble Pils,German Pilsener,12.0,4.5,,,Slippery Rock,PA
beer_240,Murphy's Law,American Amber / Red Ale,12.0,5.8,35.0,Blue Dog Mead,Norfolk,VA
beer_241,Sunshine Pils,American Pilsner,12.0,4.5,45.0,Tröegs Brewing Company,Hershey,PA
beer_242,Whip Fight,Scotch Ale / Wee Heavy,16.0,9.0,30.0,Sun King Brewing Company,Indianapolis,IN
beer_243,SanTan HefeWeizen,Hefeweizen,12.0,5.4,15.0,SanTan Brewing Company,Chandler,AZ
beer_244,Saucy Intruder,Rye Beer,16.0,7.2,75.0,Black Acre Brewing Co.,Indianapolis,IN
beer_245,Monkeynaut IPA,American IPA,12.0,7.2,70.0,Straight to Ale,Huntsville,AL
beer_246,Grazias,Cream Ale,16.0,6.3,30.0,Hess Brewing Company,San Diego,CA
beer_247,Chaka,Belgian Strong Pale Ale,16.0,8.0,,Oskar Blues Brewery,Longmont,CO
beer_248,Ginja Ninja,Cider,12.0,6.0,,2 Towns Ciderhouse,,
beer_249,Dagger Falls IPA,American IPA,12.0,6.3,100.0,Sockeye Brewing Company,Boise,ID
beer_250,Indianapolis Indians Lager,Dortmunder / Export Lager,16.0,5.2,80.0,Sun King Brewing Company,Indianapolis,IN
beer_251,Porch Rocker,Radler,12.0,4.5,8.0,Boston Beer Company,Boston,MA
beer_252,Sparkle,American Pale Lager,16.0,4.1,12.0,Petoskey Brewing,Petoskey,MI
beer_253,Iron Butt Red Ale,American Amber / Red Ale,12.0,8.1,36.0,Slanted Rock Brewing Company,Meridian,ID
beer_254,Occidental ölsch,Kölsch,16.0,4.5,,,,
beer_255,Gnarly Brown,American Brown Ale,12.0,7.0,32.0,Madtree Brewing Company,Cincinnati,OH
beer_256,Bodacious Bock,Bock,16.0,7.5,,Wildwood Brewing Company,Stevensville,MT
beer_257,Single Engine Red,,12.0,5.8,46.0,Denali Brewing Company,Talkeetna,AK
beer_258,Babblding Blonde,American Blonde Ale,12.0,5.3,,Rivertowne Brewing Company,Export,
beer_259,Plow Horse Belgian Style Imperial Stout,American Double / Imperial Stout,16.0,9.5,,Brewery Vivant,,MI
beer_260,Flower Child,American IPA,12.0,6.5,,Cambridge Brewing Company,Cambridge,MA
beer_261,Northern Lights India Pale Ale,American IPA,16.0,6.5,52.0,Starr Hill Brewery,Crozet,VA
beer_262,Alteration,,12.0,5.1,101.0,Hops & Grain Brewery,Austn,TX
beer_263,Dead-Eye DIPA,,16.0,,130.0,Mikkeller,Gloucester,MA
beer_264,Montauk Summer Ale,American Blonde Ale,12.0,5.6,28.0,Montauk Brewing Company,Montauk,NY
beer_265,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),12.0,4.8,98.0,Bonfire Brewing Company,Eagle,CO
beer_266,Oktoberfest,Märzen / Oktoberfest,,5.5,40.0,Chatham Brewing,Chatham,
beer_267,Golden Frau Honey Wheat,Braggot,32.0,7.5,,Thunderhead Brewing Company,Kearney,NE
beer_268,Santa Fe Oktoberfest,Märzen / Oktoberfest,12.0,,,Santa Fe Brewing Company,,NMK
