l_id,r_id
beer_1472,beer_3122
beer_1472,beer_3652
beer_1472,beer_4145
beer_1472,beer_4653
beer_1472,beer_4843
beer_1472,beer_5339
beer_2938,beer_3122
beer_2938,beer_3652
beer_2938,beer_4145
beer_2938,beer_4653
beer_2938,beer_4843
beer_2938,beer_5339
beer_3122,beer_3652
beer_3122,beer_4145
beer_3122,beer_4653
beer_3122,beer_4843
beer_3122,beer_5339
beer_3652,beer_4145
beer_3652,beer_4653
beer_3652,beer_4843
beer_3652,beer_5339
beer_4145,beer_4653
beer_4145,beer_4843
beer_4145,beer_5339
beer_4653,beer_4843
beer_4653,beer_5339
beer_4843,beer_5339
beer_829,beer_844
beer_829,beer_2479
beer_829,beer_3993
beer_829,beer_4363
beer_829,beer_4758
beer_844,beer_2479
beer_844,beer_3993
beer_844,beer_4363
beer_844,beer_4758
beer_2479,beer_3993
beer_2479,beer_4363
beer_2479,beer_4758
beer_3993,beer_4363
beer_3993,beer_4758
beer_4363,beer_4758
beer_2331,beer_3301
beer_208,beer_690
beer_208,beer_3280
beer_208,beer_3453
beer_208,beer_3747
beer_208,beer_3953
beer_208,beer_4062
beer_208,beer_4207
beer_690,beer_3280
beer_690,beer_3453
beer_690,beer_3747
beer_690,beer_3953
beer_690,beer_4062
beer_690,beer_4207
beer_3280,beer_3453
beer_3280,beer_3747
beer_3280,beer_3953
beer_3280,beer_4062
beer_3280,beer_4207
beer_3453,beer_3747
beer_3453,beer_3953
beer_3453,beer_4062
beer_3453,beer_4207
beer_3747,beer_3953
beer_3747,beer_4062
beer_3747,beer_4207
beer_3953,beer_4062
beer_3953,beer_4207
beer_4062,beer_4207
beer_828,beer_1399
beer_828,beer_5160
beer_1399,beer_5160
beer_1484,beer_1755
beer_1484,beer_4585
beer_1755,beer_4585
beer_5073,beer_5397
beer_586,beer_760
beer_586,beer_886
beer_586,beer_1237
beer_586,beer_2634
beer_586,beer_2834
beer_586,beer_2907
beer_586,beer_3666
beer_586,beer_5387
beer_760,beer_886
beer_760,beer_1237
beer_760,beer_2634
beer_760,beer_2834
beer_760,beer_2907
beer_760,beer_3666
beer_760,beer_5387
beer_886,beer_1237
beer_886,beer_2634
beer_886,beer_2834
beer_886,beer_2907
beer_886,beer_3666
beer_886,beer_5387
beer_1237,beer_2634
beer_1237,beer_2834
beer_1237,beer_2907
beer_1237,beer_3666
beer_1237,beer_5387
beer_2634,beer_2834
beer_2634,beer_2907
beer_2634,beer_3666
beer_2634,beer_5387
beer_2834,beer_2907
beer_2834,beer_3666
beer_2834,beer_5387
beer_2907,beer_3666
beer_2907,beer_5387
beer_3666,beer_5387
beer_1406,beer_2332
beer_1406,beer_3721
beer_1406,beer_3943
beer_1406,beer_4709
beer_1406,beer_5231
beer_1406,beer_5317
beer_2332,beer_3721
beer_2332,beer_3943
beer_2332,beer_4709
beer_2332,beer_5231
beer_2332,beer_5317
beer_3721,beer_3943
beer_3721,beer_4709
beer_3721,beer_5231
beer_3721,beer_5317
beer_3943,beer_4709
beer_3943,beer_5231
beer_3943,beer_5317
beer_4709,beer_5231
beer_4709,beer_5317
beer_5231,beer_5317
beer_1920,beer_3954
beer_537,beer_1070
beer_537,beer_1201
beer_537,beer_1425
beer_537,beer_1827
beer_537,beer_2639
beer_537,beer_4155
beer_537,beer_4745
beer_1070,beer_1201
beer_1070,beer_1425
beer_1070,beer_1827
beer_1070,beer_2639
beer_1070,beer_4155
beer_1070,beer_4745
beer_1201,beer_1425
beer_1201,beer_1827
beer_1201,beer_2639
beer_1201,beer_4155
beer_1201,beer_4745
beer_1425,beer_1827
beer_1425,beer_2639
beer_1425,beer_4155
beer_1425,beer_4745
beer_1827,beer_2639
beer_1827,beer_4155
beer_1827,beer_4745
beer_2639,beer_4155
beer_2639,beer_4745
beer_4155,beer_4745
beer_1455,beer_3319
beer_1455,beer_4682
beer_1455,beer_5398
beer_3319,beer_4682
beer_3319,beer_5398
beer_4682,beer_5398
beer_2094,beer_3354
beer_2094,beer_5091
beer_3354,beer_5091
beer_1306,beer_1734
beer_1306,beer_2510
beer_1306,beer_2722
beer_1306,beer_3009
beer_1306,beer_3350
beer_1306,beer_4274
beer_1306,beer_5022
beer_1306,beer_5100
beer_1734,beer_2510
beer_1734,beer_2722
beer_1734,beer_3009
beer_1734,beer_3350
beer_1734,beer_4274
beer_1734,beer_5022
beer_1734,beer_5100
beer_2510,beer_2722
beer_2510,beer_3009
beer_2510,beer_3350
beer_2510,beer_4274
beer_2510,beer_5022
beer_2510,beer_5100
beer_2722,beer_3009
beer_2722,beer_3350
beer_2722,beer_4274
beer_2722,beer_5022
beer_2722,beer_5100
beer_3009,beer_3350
beer_3009,beer_4274
beer_3009,beer_5022
beer_3009,beer_5100
beer_3350,beer_4274
beer_3350,beer_5022
beer_3350,beer_5100
beer_4274,beer_5022
beer_4274,beer_5100
beer_5022,beer_5100
beer_267,beer_855
beer_267,beer_986
beer_267,beer_1624
beer_267,beer_1688
beer_267,beer_3076
beer_267,beer_4730
beer_267,beer_5104
beer_855,beer_986
beer_855,beer_1624
beer_855,beer_1688
beer_855,beer_3076
beer_855,beer_4730
beer_855,beer_5104
beer_986,beer_1624
beer_986,beer_1688
beer_986,beer_3076
beer_986,beer_4730
beer_986,beer_5104
beer_1624,beer_1688
beer_1624,beer_3076
beer_1624,beer_4730
beer_1624,beer_5104
beer_1688,beer_3076
beer_1688,beer_4730
beer_1688,beer_5104
beer_3076,beer_4730
beer_3076,beer_5104
beer_4730,beer_5104
beer_371,beer_4817
beer_154,beer_1787
beer_154,beer_2873
beer_154,beer_4358
beer_1787,beer_2873
beer_1787,beer_4358
beer_2873,beer_4358
beer_652,beer_796
beer_652,beer_1450
beer_652,beer_2902
beer_652,beer_3111
beer_652,beer_3413
beer_652,beer_3621
beer_652,beer_4172
beer_796,beer_1450
beer_796,beer_2902
beer_796,beer_3111
beer_796,beer_3413
beer_796,beer_3621
beer_796,beer_4172
beer_1450,beer_2902
beer_1450,beer_3111
beer_1450,beer_3413
beer_1450,beer_3621
beer_1450,beer_4172
beer_2902,beer_3111
beer_2902,beer_3413
beer_2902,beer_3621
beer_2902,beer_4172
beer_3111,beer_3413
beer_3111,beer_3621
beer_3111,beer_4172
beer_3413,beer_3621
beer_3413,beer_4172
beer_3621,beer_4172
beer_340,beer_1706
beer_340,beer_2985
beer_340,beer_4008
beer_340,beer_4406
beer_340,beer_4834
beer_1706,beer_2985
beer_1706,beer_4008
beer_1706,beer_4406
beer_1706,beer_4834
beer_2985,beer_4008
beer_2985,beer_4406
beer_2985,beer_4834
beer_4008,beer_4406
beer_4008,beer_4834
beer_4406,beer_4834
beer_52,beer_291
beer_52,beer_893
beer_52,beer_1059
beer_52,beer_3533
beer_52,beer_3920
beer_52,beer_4218
beer_291,beer_893
beer_291,beer_1059
beer_291,beer_3533
beer_291,beer_3920
beer_291,beer_4218
beer_893,beer_1059
beer_893,beer_3533
beer_893,beer_3920
beer_893,beer_4218
beer_1059,beer_3533
beer_1059,beer_3920
beer_1059,beer_4218
beer_3533,beer_3920
beer_3533,beer_4218
beer_3920,beer_4218
beer_505,beer_748
beer_505,beer_2006
beer_748,beer_2006
beer_2076,beer_2192
beer_2076,beer_3018
beer_2076,beer_3649
beer_2076,beer_4621
beer_2192,beer_3018
beer_2192,beer_3649
beer_2192,beer_4621
beer_3018,beer_3649
beer_3018,beer_4621
beer_3649,beer_4621
beer_1107,beer_1648
beer_1107,beer_3072
beer_1107,beer_3248
beer_1107,beer_3877
beer_1107,beer_4131
beer_1107,beer_5107
beer_1648,beer_3072
beer_1648,beer_3248
beer_1648,beer_3877
beer_1648,beer_4131
beer_1648,beer_5107
beer_3072,beer_3248
beer_3072,beer_3877
beer_3072,beer_4131
beer_3072,beer_5107
beer_3248,beer_3877
beer_3248,beer_4131
beer_3248,beer_5107
beer_3877,beer_4131
beer_3877,beer_5107
beer_4131,beer_5107
beer_781,beer_2789
beer_781,beer_3377
beer_2789,beer_3377
beer_1076,beer_1630
beer_1076,beer_2135
beer_1076,beer_2614
beer_1076,beer_2990
beer_1076,beer_3359
beer_1076,beer_4366
beer_1076,beer_5101
beer_1076,beer_5211
beer_1630,beer_2135
beer_1630,beer_2614
beer_1630,beer_2990
beer_1630,beer_3359
beer_1630,beer_4366
beer_1630,beer_5101
beer_1630,beer_5211
beer_2135,beer_2614
beer_2135,beer_2990
beer_2135,beer_3359
beer_2135,beer_4366
beer_2135,beer_5101
beer_2135,beer_5211
beer_2614,beer_2990
beer_2614,beer_3359
beer_2614,beer_4366
beer_2614,beer_5101
beer_2614,beer_5211
beer_2990,beer_3359
beer_2990,beer_4366
beer_2990,beer_5101
beer_2990,beer_5211
beer_3359,beer_4366
beer_3359,beer_5101
beer_3359,beer_5211
beer_4366,beer_5101
beer_4366,beer_5211
beer_5101,beer_5211
beer_406,beer_1259
beer_406,beer_2460
beer_406,beer_3543
beer_406,beer_3576
beer_406,beer_4014
beer_406,beer_4392
beer_406,beer_4399
beer_406,beer_4415
beer_1259,beer_2460
beer_1259,beer_3543
beer_1259,beer_3576
beer_1259,beer_4014
beer_1259,beer_4392
beer_1259,beer_4399
beer_1259,beer_4415
beer_2460,beer_3543
beer_2460,beer_3576
beer_2460,beer_4014
beer_2460,beer_4392
beer_2460,beer_4399
beer_2460,beer_4415
beer_3543,beer_3576
beer_3543,beer_4014
beer_3543,beer_4392
beer_3543,beer_4399
beer_3543,beer_4415
beer_3576,beer_4014
beer_3576,beer_4392
beer_3576,beer_4399
beer_3576,beer_4415
beer_4014,beer_4392
beer_4014,beer_4399
beer_4014,beer_4415
beer_4392,beer_4399
beer_4392,beer_4415
beer_4399,beer_4415
beer_319,beer_1061
beer_319,beer_1324
beer_319,beer_2544
beer_319,beer_3661
beer_1061,beer_1324
beer_1061,beer_2544
beer_1061,beer_3661
beer_1324,beer_2544
beer_1324,beer_3661
beer_2544,beer_3661
beer_2003,beer_2610
beer_2003,beer_2962
beer_2003,beer_4237
beer_2003,beer_5053
beer_2610,beer_2962
beer_2610,beer_4237
beer_2610,beer_5053
beer_2962,beer_4237
beer_2962,beer_5053
beer_4237,beer_5053
beer_1078,beer_1136
beer_1078,beer_1266
beer_1078,beer_2044
beer_1078,beer_2749
beer_1078,beer_3785
beer_1078,beer_3810
beer_1078,beer_4842
beer_1136,beer_1266
beer_1136,beer_2044
beer_1136,beer_2749
beer_1136,beer_3785
beer_1136,beer_3810
beer_1136,beer_4842
beer_1266,beer_2044
beer_1266,beer_2749
beer_1266,beer_3785
beer_1266,beer_3810
beer_1266,beer_4842
beer_2044,beer_2749
beer_2044,beer_3785
beer_2044,beer_3810
beer_2044,beer_4842
beer_2749,beer_3785
beer_2749,beer_3810
beer_2749,beer_4842
beer_3785,beer_3810
beer_3785,beer_4842
beer_3810,beer_4842
beer_228,beer_1208
beer_228,beer_2423
beer_228,beer_3071
beer_228,beer_3550
beer_228,beer_4275
beer_228,beer_4644
beer_1208,beer_2423
beer_1208,beer_3071
beer_1208,beer_3550
beer_1208,beer_4275
beer_1208,beer_4644
beer_2423,beer_3071
beer_2423,beer_3550
beer_2423,beer_4275
beer_2423,beer_4644
beer_3071,beer_3550
beer_3071,beer_4275
beer_3071,beer_4644
beer_3550,beer_4275
beer_3550,beer_4644
beer_4275,beer_4644
beer_268,beer_725
beer_268,beer_914
beer_268,beer_2254
beer_268,beer_3210
beer_268,beer_4091
beer_725,beer_914
beer_725,beer_2254
beer_725,beer_3210
beer_725,beer_4091
beer_914,beer_2254
beer_914,beer_3210
beer_914,beer_4091
beer_2254,beer_3210
beer_2254,beer_4091
beer_3210,beer_4091
beer_575,beer_626
beer_575,beer_918
beer_575,beer_1156
beer_575,beer_1526
beer_575,beer_1694
beer_575,beer_4858
beer_626,beer_918
beer_626,beer_1156
beer_626,beer_1526
beer_626,beer_1694
beer_626,beer_4858
beer_918,beer_1156
beer_918,beer_1526
beer_918,beer_1694
beer_918,beer_4858
beer_1156,beer_1526
beer_1156,beer_1694
beer_1156,beer_4858
beer_1526,beer_1694
beer_1526,beer_4858
beer_1694,beer_4858
beer_336,beer_676
beer_336,beer_974
beer_336,beer_1347
beer_336,beer_2486
beer_336,beer_4821
beer_336,beer_4931
beer_676,beer_974
beer_676,beer_1347
beer_676,beer_2486
beer_676,beer_4821
beer_676,beer_4931
beer_974,beer_1347
beer_974,beer_2486
beer_974,beer_4821
beer_974,beer_4931
beer_1347,beer_2486
beer_1347,beer_4821
beer_1347,beer_4931
beer_2486,beer_4821
beer_2486,beer_4931
beer_4821,beer_4931
beer_492,beer_899
beer_492,beer_933
beer_492,beer_4814
beer_492,beer_5204
beer_899,beer_933
beer_899,beer_4814
beer_899,beer_5204
beer_933,beer_4814
beer_933,beer_5204
beer_4814,beer_5204
beer_460,beer_971
beer_460,beer_988
beer_460,beer_1945
beer_460,beer_2371
beer_460,beer_2819
beer_460,beer_2929
beer_460,beer_3632
beer_460,beer_3998
beer_971,beer_988
beer_971,beer_1945
beer_971,beer_2371
beer_971,beer_2819
beer_971,beer_2929
beer_971,beer_3632
beer_971,beer_3998
beer_988,beer_1945
beer_988,beer_2371
beer_988,beer_2819
beer_988,beer_2929
beer_988,beer_3632
beer_988,beer_3998
beer_1945,beer_2371
beer_1945,beer_2819
beer_1945,beer_2929
beer_1945,beer_3632
beer_1945,beer_3998
beer_2371,beer_2819
beer_2371,beer_2929
beer_2371,beer_3632
beer_2371,beer_3998
beer_2819,beer_2929
beer_2819,beer_3632
beer_2819,beer_3998
beer_2929,beer_3632
beer_2929,beer_3998
beer_3632,beer_3998
beer_2129,beer_4054
beer_58,beer_579
beer_58,beer_1957
beer_58,beer_3373
beer_58,beer_3451
beer_58,beer_4942
beer_579,beer_1957
beer_579,beer_3373
beer_579,beer_3451
beer_579,beer_4942
beer_1957,beer_3373
beer_1957,beer_3451
beer_1957,beer_4942
beer_3373,beer_3451
beer_3373,beer_4942
beer_3451,beer_4942
beer_310,beer_2046
beer_310,beer_3079
beer_310,beer_4094
beer_310,beer_4641
beer_310,beer_5369
beer_2046,beer_3079
beer_2046,beer_4094
beer_2046,beer_4641
beer_2046,beer_5369
beer_3079,beer_4094
beer_3079,beer_4641
beer_3079,beer_5369
beer_4094,beer_4641
beer_4094,beer_5369
beer_4641,beer_5369
beer_363,beer_1821
beer_363,beer_3243
beer_1821,beer_3243
beer_1512,beer_3067
beer_1512,beer_3824
beer_1512,beer_4348
beer_1512,beer_5047
beer_3067,beer_3824
beer_3067,beer_4348
beer_3067,beer_5047
beer_3824,beer_4348
beer_3824,beer_5047
beer_4348,beer_5047
beer_4111,beer_5071
beer_34,beer_525
beer_34,beer_560
beer_34,beer_2124
beer_34,beer_2839
beer_34,beer_3456
beer_34,beer_3610
beer_34,beer_3635
beer_34,beer_4547
beer_525,beer_560
beer_525,beer_2124
beer_525,beer_2839
beer_525,beer_3456
beer_525,beer_3610
beer_525,beer_3635
beer_525,beer_4547
beer_560,beer_2124
beer_560,beer_2839
beer_560,beer_3456
beer_560,beer_3610
beer_560,beer_3635
beer_560,beer_4547
beer_2124,beer_2839
beer_2124,beer_3456
beer_2124,beer_3610
beer_2124,beer_3635
beer_2124,beer_4547
beer_2839,beer_3456
beer_2839,beer_3610
beer_2839,beer_3635
beer_2839,beer_4547
beer_3456,beer_3610
beer_3456,beer_3635
beer_3456,beer_4547
beer_3610,beer_3635
beer_3610,beer_4547
beer_3635,beer_4547
beer_294,beer_563
beer_294,beer_710
beer_294,beer_1897
beer_294,beer_2224
beer_294,beer_3819
beer_294,beer_3892
beer_563,beer_710
beer_563,beer_1897
beer_563,beer_2224
beer_563,beer_3819
beer_563,beer_3892
beer_710,beer_1897
beer_710,beer_2224
beer_710,beer_3819
beer_710,beer_3892
beer_1897,beer_2224
beer_1897,beer_3819
beer_1897,beer_3892
beer_2224,beer_3819
beer_2224,beer_3892
beer_3819,beer_3892
beer_960,beer_1224
beer_960,beer_2793
beer_960,beer_3448
beer_960,beer_4550
beer_960,beer_4878
beer_1224,beer_2793
beer_1224,beer_3448
beer_1224,beer_4550
beer_1224,beer_4878
beer_2793,beer_3448
beer_2793,beer_4550
beer_2793,beer_4878
beer_3448,beer_4550
beer_3448,beer_4878
beer_4550,beer_4878
beer_1548,beer_3347
beer_1548,beer_3479
beer_1548,beer_4084
beer_3347,beer_3479
beer_3347,beer_4084
beer_3479,beer_4084
beer_4578,beer_4593
beer_1397,beer_1782
beer_1397,beer_2743
beer_1397,beer_3412
beer_1397,beer_3876
beer_1397,beer_3907
beer_1397,beer_4684
beer_1397,beer_4969
beer_1397,beer_5105
beer_1782,beer_2743
beer_1782,beer_3412
beer_1782,beer_3876
beer_1782,beer_3907
beer_1782,beer_4684
beer_1782,beer_4969
beer_1782,beer_5105
beer_2743,beer_3412
beer_2743,beer_3876
beer_2743,beer_3907
beer_2743,beer_4684
beer_2743,beer_4969
beer_2743,beer_5105
beer_3412,beer_3876
beer_3412,beer_3907
beer_3412,beer_4684
beer_3412,beer_4969
beer_3412,beer_5105
beer_3876,beer_3907
beer_3876,beer_4684
beer_3876,beer_4969
beer_3876,beer_5105
beer_3907,beer_4684
beer_3907,beer_4969
beer_3907,beer_5105
beer_4684,beer_4969
beer_4684,beer_5105
beer_4969,beer_5105
beer_3199,beer_3227
beer_3199,beer_3250
beer_3199,beer_4280
beer_3199,beer_5286
beer_3227,beer_3250
beer_3227,beer_4280
beer_3227,beer_5286
beer_3250,beer_4280
beer_3250,beer_5286
beer_4280,beer_5286
beer_2456,beer_4835
beer_805,beer_808
beer_805,beer_1160
beer_805,beer_4251
beer_808,beer_1160
beer_808,beer_4251
beer_1160,beer_4251
beer_642,beer_1863
beer_642,beer_3465
beer_642,beer_3956
beer_642,beer_4351
beer_642,beer_4509
beer_642,beer_5157
beer_1863,beer_3465
beer_1863,beer_3956
beer_1863,beer_4351
beer_1863,beer_4509
beer_1863,beer_5157
beer_3465,beer_3956
beer_3465,beer_4351
beer_3465,beer_4509
beer_3465,beer_5157
beer_3956,beer_4351
beer_3956,beer_4509
beer_3956,beer_5157
beer_4351,beer_4509
beer_4351,beer_5157
beer_4509,beer_5157
beer_128,beer_226
beer_128,beer_2050
beer_128,beer_3110
beer_128,beer_4667
beer_226,beer_2050
beer_226,beer_3110
beer_226,beer_4667
beer_2050,beer_3110
beer_2050,beer_4667
beer_3110,beer_4667
beer_861,beer_921
beer_861,beer_3433
beer_861,beer_5108
beer_921,beer_3433
beer_921,beer_5108
beer_3433,beer_5108
beer_435,beer_1943
beer_435,beer_2517
beer_435,beer_3017
beer_435,beer_3153
beer_435,beer_5419
beer_1943,beer_2517
beer_1943,beer_3017
beer_1943,beer_3153
beer_1943,beer_5419
beer_2517,beer_3017
beer_2517,beer_3153
beer_2517,beer_5419
beer_3017,beer_3153
beer_3017,beer_5419
beer_3153,beer_5419
beer_533,beer_689
beer_533,beer_2856
beer_533,beer_4658
beer_533,beer_5304
beer_689,beer_2856
beer_689,beer_4658
beer_689,beer_5304
beer_2856,beer_4658
beer_2856,beer_5304
beer_4658,beer_5304
beer_5,beer_1253
beer_5,beer_3762
beer_5,beer_4272
beer_1253,beer_3762
beer_1253,beer_4272
beer_3762,beer_4272
beer_3041,beer_4330
beer_479,beer_549
beer_479,beer_706
beer_479,beer_1165
beer_479,beer_3902
beer_479,beer_4492
beer_479,beer_4909
beer_479,beer_5244
beer_479,beer_5326
beer_549,beer_706
beer_549,beer_1165
beer_549,beer_3902
beer_549,beer_4492
beer_549,beer_4909
beer_549,beer_5244
beer_549,beer_5326
beer_706,beer_1165
beer_706,beer_3902
beer_706,beer_4492
beer_706,beer_4909
beer_706,beer_5244
beer_706,beer_5326
beer_1165,beer_3902
beer_1165,beer_4492
beer_1165,beer_4909
beer_1165,beer_5244
beer_1165,beer_5326
beer_3902,beer_4492
beer_3902,beer_4909
beer_3902,beer_5244
beer_3902,beer_5326
beer_4492,beer_4909
beer_4492,beer_5244
beer_4492,beer_5326
beer_4909,beer_5244
beer_4909,beer_5326
beer_5244,beer_5326
beer_716,beer_926
beer_716,beer_1724
beer_716,beer_1816
beer_716,beer_5195
beer_926,beer_1724
beer_926,beer_1816
beer_926,beer_5195
beer_1724,beer_1816
beer_1724,beer_5195
beer_1816,beer_5195
beer_1448,beer_2226
beer_1448,beer_2735
beer_2226,beer_2735
beer_632,beer_2869
beer_632,beer_3294
beer_632,beer_3731
beer_632,beer_5402
beer_2869,beer_3294
beer_2869,beer_3731
beer_2869,beer_5402
beer_3294,beer_3731
beer_3294,beer_5402
beer_3731,beer_5402
beer_100,beer_1737
beer_100,beer_1954
beer_100,beer_2604
beer_100,beer_4069
beer_100,beer_4344
beer_1737,beer_1954
beer_1737,beer_2604
beer_1737,beer_4069
beer_1737,beer_4344
beer_1954,beer_2604
beer_1954,beer_4069
beer_1954,beer_4344
beer_2604,beer_4069
beer_2604,beer_4344
beer_4069,beer_4344
beer_222,beer_1775
beer_222,beer_2484
beer_222,beer_2705
beer_222,beer_2799
beer_222,beer_2901
beer_222,beer_2946
beer_222,beer_4409
beer_222,beer_4966
beer_1775,beer_2484
beer_1775,beer_2705
beer_1775,beer_2799
beer_1775,beer_2901
beer_1775,beer_2946
beer_1775,beer_4409
beer_1775,beer_4966
beer_2484,beer_2705
beer_2484,beer_2799
beer_2484,beer_2901
beer_2484,beer_2946
beer_2484,beer_4409
beer_2484,beer_4966
beer_2705,beer_2799
beer_2705,beer_2901
beer_2705,beer_2946
beer_2705,beer_4409
beer_2705,beer_4966
